run,date,hrs_after_incubation,pipe_nr,treatment,tinytag,minute,ppm
2,10/22/2025,2,18,BUW,G,ppm_4,735
2,10/22/2025,2,18,BUW,G,ppm_5,739
2,10/22/2025,2,18,BUW,G,ppm_6,743
2,10/22/2025,2,23,SUW,H,ppm _room,777
2,10/22/2025,2,23,SUW,H,ppm_0,782
2,10/22/2025,2,23,SUW,H,ppm_1,792
2,10/22/2025,2,23,SUW,H,ppm_2,799
2,10/22/2025,2,23,SUW,H,ppm_3,805
2,10/22/2025,2,23,SUW,H,ppm_4,812
2,10/22/2025,2,23,SUW,H,ppm_5,819
2,10/22/2025,2,23,SUW,H,ppm_6,825
2,10/22/2025,6,20,BUD,A,ppm _room,509
2,10/22/2025,6,20,BUD,A,ppm_0,533
2,10/22/2025,6,20,BUD,A,ppm_1,539
2,10/22/2025,6,20,BUD,A,ppm_2,542
2,10/22/2025,6,20,BUD,A,ppm_3,546
2,10/22/2025,6,20,BUD,A,ppm_4,550
2,10/22/2025,6,20,BUD,A,ppm_5,554
2,10/22/2025,6,20,BUD,A,ppm_6,558
2,10/22/2025,6,19,BCD,B,ppm _room,690
2,10/22/2025,6,19,BCD,B,ppm_0,693
2,10/22/2025,6,19,BCD,B,ppm_1,694
2,10/22/2025,6,19,BCD,B,ppm_2,696
2,10/22/2025,6,19,BCD,B,ppm_3,697
2,10/22/2025,6,19,BCD,B,ppm_4,699
2,10/22/2025,6,19,BCD,B,ppm_5,701
2,10/22/2025,6,19,BCD,B,ppm_6,702
2,10/22/2025,6,17,BCW,C,ppm _room,786
2,10/22/2025,6,17,BCW,C,ppm_0,808
2,10/22/2025,6,17,BCW,C,ppm_1,811
2,10/22/2025,6,17,BCW,C,ppm_2,814
2,10/22/2025,6,17,BCW,C,ppm_3,818
2,10/22/2025,6,17,BCW,C,ppm_4,822
2,10/22/2025,6,17,BCW,C,ppm_5,826
2,10/22/2025,6,17,BCW,C,ppm_6,830
2,10/22/2025,6,22,SCD,D,ppm _room,735
2,10/22/2025,6,22,SCD,D,ppm_0,740
2,10/22/2025,6,22,SCD,D,ppm_1,751
2,10/22/2025,6,22,SCD,D,ppm_2,760
2,10/22/2025,6,22,SCD,D,ppm_3,767
2,10/22/2025,6,22,SCD,D,ppm_4,775
2,10/22/2025,6,22,SCD,D,ppm_5,782
2,10/22/2025,6,22,SCD,D,ppm_6,789
2,10/22/2025,6,21,SCW,E,ppm _room,727
2,10/22/2025,6,21,SCW,E,ppm_0,726
2,10/22/2025,6,21,SCW,E,ppm_1,736
2,10/22/2025,6,21,SCW,E,ppm_2,749
2,10/22/2025,6,21,SCW,E,ppm_3,760
2,10/22/2025,6,21,SCW,E,ppm_4,769
2,10/22/2025,6,21,SCW,E,ppm_5,779
2,10/22/2025,6,21,SCW,E,ppm_6,788
2,10/22/2025,6,24,SUD,F,ppm _room,727
2,10/22/2025,6,24,SUD,F,ppm_0,729
2,10/22/2025,6,24,SUD,F,ppm_1,736
2,10/22/2025,6,24,SUD,F,ppm_2,744
2,10/22/2025,6,24,SUD,F,ppm_3,749
2,10/22/2025,6,24,SUD,F,ppm_4,755
2,10/22/2025,6,24,SUD,F,ppm_5,762
2,10/22/2025,6,24,SUD,F,ppm_6,768
2,10/22/2025,6,18,BUW,G,ppm _room,679
2,10/22/2025,6,18,BUW,G,ppm_0,682
2,10/22/2025,6,18,BUW,G,ppm_1,690
2,10/22/2025,6,18,BUW,G,ppm_2,697
2,10/22/2025,6,18,BUW,G,ppm_3,703
2,10/22/2025,6,18,BUW,G,ppm_4,709
2,10/22/2025,6,18,BUW,G,ppm_5,715
2,10/22/2025,6,18,BUW,G,ppm_6,721
2,10/22/2025,6,23,SUW,H,ppm _room,658
2,10/22/2025,6,23,SUW,H,ppm_0,672
2,10/22/2025,6,23,SUW,H,ppm_1,690
2,10/22/2025,6,23,SUW,H,ppm_2,702
2,10/22/2025,6,23,SUW,H,ppm_3,714
2,10/22/2025,6,23,SUW,H,ppm_4,726
2,10/22/2025,6,23,SUW,H,ppm_5,737
2,10/22/2025,6,23,SUW,H,ppm_6,748
2,10/22/2025,12,20,BUD,A,ppm _room,691
2,10/22/2025,12,20,BUD,A,ppm_0,686
2,10/22/2025,12,20,BUD,A,ppm_1,688
2,10/22/2025,12,20,BUD,A,ppm_2,690
2,10/22/2025,12,20,BUD,A,ppm_3,692
2,10/22/2025,12,20,BUD,A,ppm_4,695
2,10/22/2025,12,20,BUD,A,ppm_5,698
2,10/22/2025,12,20,BUD,A,ppm_6,701
2,10/22/2025,12,19,BCD,B,ppm _room,658
2,10/22/2025,12,19,BCD,B,ppm_0,663
2,10/22/2025,12,19,BCD,B,ppm_1,666
2,10/22/2025,12,19,BCD,B,ppm_2,668
2,10/22/2025,12,19,BCD,B,ppm_3,670
2,10/22/2025,12,19,BCD,B,ppm_4,672
2,10/22/2025,12,19,BCD,B,ppm_5,675
2,10/22/2025,12,19,BCD,B,ppm_6,676
2,10/22/2025,12,17,BCW,C,ppm _room,652
2,10/22/2025,12,17,BCW,C,ppm_0,658
2,10/22/2025,12,17,BCW,C,ppm_1,667
2,10/22/2025,12,17,BCW,C,ppm_2,675
2,10/22/2025,12,17,BCW,C,ppm_3,682
2,10/22/2025,12,17,BCW,C,ppm_4,690
2,10/22/2025,12,17,BCW,C,ppm_5,697
2,10/22/2025,12,17,BCW,C,ppm_6,704
2,10/22/2025,12,22,SCD,D,ppm _room,647
2,10/22/2025,12,22,SCD,D,ppm_0,654
2,10/22/2025,12,22,SCD,D,ppm_1,672
2,10/22/2025,12,22,SCD,D,ppm_2,686
2,10/22/2025,12,22,SCD,D,ppm_3,700
2,10/22/2025,12,22,SCD,D,ppm_4,711
2,10/22/2025,12,22,SCD,D,ppm_5,723
2,10/22/2025,12,22,SCD,D,ppm_6,733
2,10/22/2025,12,21,SCW,E,ppm _room,669
2,10/22/2025,12,21,SCW,E,ppm_0,673
2,10/22/2025,12,21,SCW,E,ppm_1,685
2,10/22/2025,12,21,SCW,E,ppm_2,701
2,10/22/2025,12,21,SCW,E,ppm_3,715
2,10/22/2025,12,21,SCW,E,ppm_4,730
2,10/22/2025,12,21,SCW,E,ppm_5,742
2,10/22/2025,12,21,SCW,E,ppm_6,755
2,10/22/2025,12,24,SUD,F,ppm _room,676
2,10/22/2025,12,24,SUD,F,ppm_0,678
2,10/22/2025,12,24,SUD,F,ppm_1,691
2,10/22/2025,12,24,SUD,F,ppm_2,701
2,10/22/2025,12,24,SUD,F,ppm_3,711
2,10/22/2025,12,24,SUD,F,ppm_4,719
2,10/22/2025,12,24,SUD,F,ppm_5,728
2,10/22/2025,12,24,SUD,F,ppm_6,736
2,10/22/2025,12,18,BUW,G,ppm _room,689
2,10/22/2025,12,18,BUW,G,ppm_0,689
2,10/22/2025,12,18,BUW,G,ppm_1,696
2,10/22/2025,12,18,BUW,G,ppm_2,703
2,10/22/2025,12,18,BUW,G,ppm_3,709
2,10/22/2025,12,18,BUW,G,ppm_4,715
2,10/22/2025,12,18,BUW,G,ppm_5,721
2,10/22/2025,12,18,BUW,G,ppm_6,727
2,10/22/2025,12,23,SUW,H,ppm _room,695
2,10/22/2025,12,23,SUW,H,ppm_0,712
2,10/22/2025,12,23,SUW,H,ppm_1,730
2,10/22/2025,12,23,SUW,H,ppm_2,745
2,10/22/2025,12,23,SUW,H,ppm_3,759
2,10/22/2025,12,23,SUW,H,ppm_4,772
2,10/22/2025,12,23,SUW,H,ppm_5,786
2,10/22/2025,12,23,SUW,H,ppm_6,799
2,10/23/2025,24,20,BUD,A,ppm _room,683
2,10/23/2025,24,20,BUD,A,ppm_0,687
2,10/23/2025,24,20,BUD,A,ppm_1,693
2,10/23/2025,24,20,BUD,A,ppm_2,699
2,10/23/2025,24,20,BUD,A,ppm_3,706
2,10/23/2025,24,20,BUD,A,ppm_4,712
2,10/23/2025,24,20,BUD,A,ppm_5,717
2,10/23/2025,24,20,BUD,A,ppm_6,722
2,10/23/2025,24,19,BCD,B,ppm _room,650
2,10/23/2025,24,19,BCD,B,ppm_0,650
2,10/23/2025,24,19,BCD,B,ppm_1,656
2,10/23/2025,24,19,BCD,B,ppm_2,661
2,10/23/2025,24,19,BCD,B,ppm_3,666
2,10/23/2025,24,19,BCD,B,ppm_4,671
2,10/23/2025,24,19,BCD,B,ppm_5,675
2,10/23/2025,24,19,BCD,B,ppm_6,679
2,10/23/2025,24,17,BCW,C,ppm _room,610
2,10/23/2025,24,17,BCW,C,ppm_0,616
2,10/23/2025,24,17,BCW,C,ppm_1,627
2,10/23/2025,24,17,BCW,C,ppm_2,637
2,10/23/2025,24,17,BCW,C,ppm_3,646
2,10/23/2025,24,17,BCW,C,ppm_4,654
2,10/23/2025,24,17,BCW,C,ppm_5,662
2,10/23/2025,24,17,BCW,C,ppm_6,670
2,10/23/2025,24,22,SCD,D,ppm _room,608
2,10/23/2025,24,22,SCD,D,ppm_0,612
2,10/23/2025,24,22,SCD,D,ppm_1,641
2,10/23/2025,24,22,SCD,D,ppm_2,663
2,10/23/2025,24,22,SCD,D,ppm_3,685
2,10/23/2025,24,22,SCD,D,ppm_4,702
2,10/23/2025,24,22,SCD,D,ppm_5,719
2,10/23/2025,24,22,SCD,D,ppm_6,736
2,10/23/2025,24,21,SCW,E,ppm _room,617
2,10/23/2025,24,21,SCW,E,ppm_0,636
2,10/23/2025,24,21,SCW,E,ppm_1,655
2,10/23/2025,24,21,SCW,E,ppm_2,674
2,10/23/2025,24,21,SCW,E,ppm_3,692
2,10/23/2025,24,21,SCW,E,ppm_4,710
2,10/23/2025,24,21,SCW,E,ppm_5,726
2,10/23/2025,24,21,SCW,E,ppm_6,743
2,10/23/2025,24,24,SUD,F,ppm _room,615
2,10/23/2025,24,24,SUD,F,ppm_0,619
2,10/23/2025,24,24,SUD,F,ppm_1,634
2,10/23/2025,24,24,SUD,F,ppm_2,648
2,10/23/2025,24,24,SUD,F,ppm_3,662
2,10/23/2025,24,24,SUD,F,ppm_4,674
2,10/23/2025,24,24,SUD,F,ppm_5,686
2,10/23/2025,24,24,SUD,F,ppm_6,698
2,10/23/2025,24,18,BUW,G,ppm _room,636
2,10/23/2025,24,18,BUW,G,ppm_0,640
2,10/23/2025,24,18,BUW,G,ppm_1,648
2,10/23/2025,24,18,BUW,G,ppm_2,656
2,10/23/2025,24,18,BUW,G,ppm_3,664
2,10/23/2025,24,18,BUW,G,ppm_4,672
2,10/23/2025,24,18,BUW,G,ppm_5,680
2,10/23/2025,24,18,BUW,G,ppm_6,687
2,10/23/2025,24,23,SUW,H,ppm _room,645
