nr,run,treatment,layer,LOI,tray,well,6-8mg,beriget,%N,%C,C/N,Delta15N,Delta13C
1.00000000000000000,1.00000000000000000,BCD,top,,0.00000000000000000,A1,7.83500000000000000,0.00000000000000000,0.83597867865034200,16.58698198210450000,19.84139357343850000,-0.84010688851050200,-29.27996643841290000
2.00000000000000000,1.00000000000000000,BCD,middle,19.92031873000000000,0.00000000000000000,A2,7.63200000000000000,0.00000000000000000,0.44194055371323000,7.82967835375790000,17.71658719249030000,0.21073808666171700,-27.12258189575610000
3.00000000000000000,1.00000000000000000,BCD,bottom,,0.00000000000000000,A3,7.55800000000000000,0.00000000000000000,0.30150865774565200,4.30082161316819000,14.26433869370450000,0.78904754321945800,-25.44138654557480000
19.00000000000000000,1.00000000000000000,BCW,top,,0.00000000000000000,A4,6.34800000000000000,0.00000000000000000,0.84249983409812100,18.17189870638810000,21.56902348335860000,-0.46272512044226900,-28.59988926567410000
20.00000000000000000,1.00000000000000000,BCW,middle,11.95219124000000000,0.00000000000000000,A5,7.42100000000000000,0.00000000000000000,0.41457638249875400,6.52469446228292000,15.73822035629950000,-0.15805187797870300,-27.25659520318250000
21.00000000000000000,1.00000000000000000,BCW,bottom,,0.00000000000000000,A6,7.90700000000000000,0.00000000000000000,0.34793498844509800,4.83425983217969000,13.89414687434490000,0.47965975063610300,-25.99417986246330000
37.00000000000000000,1.00000000000000000,BUD,top,,0.00000000000000000,A7,6.41700000000000000,0.00000000000000000,0.90082625215035000,17.40874276876510000,19.32530577035130000,-0.52457268318349300,-28.40242736055140000
38.00000000000000000,1.00000000000000000,BUD,middle,16.07142857000000000,0.00000000000000000,A8,6.99100000000000000,0.00000000000000000,0.40786666866610800,7.78126100274343000,19.07795267554310000,-0.28331068318399500,-26.98852640416760000
39.00000000000000000,1.00000000000000000,BUD,bottom,,0.00000000000000000,A9,8.19700000000000000,0.00000000000000000,0.29007259756025700,4.29513872482097000,14.80711642859940000,0.10272581581979400,-25.76953031385840000
55.00000000000000000,1.00000000000000000,BUW,top,,0.00000000000000000,A10,6.30700000000000000,0.00000000000000000,0.95181484528924100,18.71171292476460000,19.65898411584290000,-1.00803200415697000,-28.60015911963490000
