nr,run,tt,treatment,aboveground,tray,placement,3-4 mg,comment,%N,%C,C/N,d15Nkorr,d13Ckorr,Nat abun (15N),δ15Nkorr,atom% (15N),APE%,N pr DW,15N pr DW,15N pr N ,Nat abun (13C),δ13Ckorr,atom% (13C),APE%,C pr DW,13C pr DW  ,13C pr C 
nr,run,tt,treatment,aboveground,tray,placement,3-4 mg,comment,%N,%C,C/N,d15Nkorr,d13Ckorr,(ATM%),(δ),(% of N),(% excess),(mgN/g DW),(μg/g DW),(μg/g N),(ATM%),(δ),(% of C),(% excess),(mg/g DW),(μg/g DW),(μg/g C)
1.00000000000,1.00000000000,A,SCW,equisetum,1.00000000000,A1,3.96800000000,,2.74212977530,39.88745763148,14.54615970065,-2.33407808366,-27.74479171408,0.36600000000,-2.33407808366,0.36540191065,-0.00059808935,27.42129775304,-0.16400386225,-5.98089352744,1.07700000000,-27.74479171408,1.08071610364,0.00371610364,398.87457631485,14.82259263013,37.16103635151
2.00000000000,1.00000000000,B,BUW,equisetum,1.00000000000,A2,3.64700000000,,2.22853607058,39.23402549044,17.60529075946,-1.79483726063,-27.34273783178,0.36600000000,-1.79483726063,0.36559868920,-0.00040131080,22.28536070575,-0.08943356011,-4.01310803503,1.07700000000,-27.34273783178,1.08115817728,0.00415817728,392.34025490436,16.31420335259,41.58177283279
3.00000000000,1.00000000000,C,BCW,equisetum,1.00000000000,A3,3.48100000000,,2.75649268909,38.76020633572,14.06142178033,0.10772368670,-26.57291104260,0.36600000000,0.10772368670,0.36629296125,0.00029296125,27.56492689093,0.08075455507,2.92961252485,1.07700000000,-26.57291104260,1.08200462031,0.00500462031,387.60206335719,19.39801157607,50.04620307759
4.00000000000,1.00000000000,D,BCD,equisetum,1.00000000000,A4,3.77500000000,,1.77067561761,34.63798102931,19.56201389162,0.15571260013,-26.86122941664,0.36600000000,0.15571260013,0.36631047298,0.00031047298,17.70675617614,0.05497469307,3.10472977206,1.07700000000,-26.86122941664,1.08168760903,0.00468760903,346.37981029310,16.23693128217,46.87609034843
5.00000000000,1.00000000000,E,SUW,equisetum,1.00000000000,A5,3.57600000000,,2.44618255089,37.19294901750,15.20448627352,2.97092372715,-27.95170196279,0.36600000000,2.97092372715,0.36733776620,0.00133776620,24.46182550888,0.32724203242,13.37766195349,1.07700000000,-27.95170196279,1.08048859635,0.00348859635,371.92949017497,12.97511861518,34.88596349022
6.00000000000,1.00000000000,F,SCD,equisetum,1.00000000000,A6,3.52700000000,,2.27409649773,33.97156542661,14.93848896058,1.05556688207,-27.77395312568,0.36600000000,1.05556688207,0.36663883936,0.00063883936,22.74096497728,0.14527823442,6.38839356936,1.07700000000,-27.77395312568,1.08068403939,0.00368403939,339.71565426610,12.51525852427,36.84039392093
7.00000000000,1.00000000000,G,SUD,equisetum,1.00000000000,A7,3.83200000000,,2.14042059303,33.50199269010,15.65206053388,0.04097829045,-28.26562918688,0.36600000000,0.04097829045,0.36626860505,0.00026860505,21.40420593032,0.05749277891,2.68605054080,1.07700000000,-28.26562918688,1.08014341700,0.00314341700,335.01992690104,10.53107334652,31.43417003261
8.00000000000,1.00000000000,H,BUD,equisetum,1.00000000000,A8,3.80500000000,,2.31114759779,35.37644576956,15.30687430062,3.11166746651,-27.30278335855,0.36600000000,3.11166746651,0.36738912416,0.00138912416,23.11147597791,0.32104709737,13.89124163585,1.07700000000,-27.30278335855,1.08120210854,0.00420210854,353.76445769558,14.86556649398,42.02108541603
9.00000000000,1.00000000000,A,SCW,bryophyte,1.00000000000,A9,3.23100000000,,0.81655050729,37.80797745983,46.30206842338,-1.46523993053,-28.85249483147,0.36600000000,-1.46523993053,0.36571896473,-0.00028103527,8.16550507293,-0.02294794917,-2.81035269284,1.07700000000,-28.85249483147,1.07949812118,0.00249812118,378.07977459828,9.44489091331,24.98121176503
10.00000000000,1.00000000000,B,BUW,bryophyte,1.00000000000,A10,3.43700000000,,1.22446685052,32.81074082467,26.79594046245,-0.25386641097,-28.25214343186,0.36600000000,-0.25386641097,0.36616101253,0.00016101253,12.24466850516,0.01971545073,1.61012531451,1.07700000000,-28.25214343186,1.08015824534,0.00315824534,328.10740824666,10.36243694212,31.58245343345
11.00000000000,1.00000000000,C,BCW,bryophyte,1.00000000000,A11,3.29400000000,,1.28049054306,38.09007866120,29.74647401163,-0.11278194757,-28.76403664235,0.36600000000,-0.11278194757,0.36621249605,0.00021249605,12.80490543058,0.02720991791,2.12496047337,1.07700000000,-28.76403664235,1.07959538708,0.00259538708,380.90078661205,9.88584979927,25.95387078929
12.00000000000,1.00000000000,D,BCD,bryophyte,1.00000000000,A12,3.24000000000,,1.33485989700,34.10363914018,25.54847832106,0.44627170190,-29.32321863054,0.36600000000,0.44627170190,0.36641650131,0.00041650131,13.34859897001,0.05559709017,4.16501314431,1.07700000000,-29.32321863054,1.07898052456,0.00198052456,341.03639140181,6.75430947841,19.80524556529
,,,,,,,,PEACH,2.77616359182,47.87221246988,17.24401710728,2.09187497325,-26.03504541059,0.36600000000,2.09187497325,0.36701699650,0.00101699650,27.76163591816,0.28233486523,10.16996498546,1.07700000000,-26.03504541059,1.08259600788,0.00559600788,478.72212469876,26.78932781412,55.96007878469
13.00000000000,1.00000000000,E,SUW,bryophyte,1.00000000000,B1,3.49200000000,,1.13542028732,36.10387716128,31.79780876244,1.26113644570,-29.12522907854,0.36600000000,1.26113644570,0.36671385357,0.00071385357,11.35420287322,0.08105238246,7.13853569187,1.07700000000,-29.12522907854,1.07919822979,0.00219822979,361.03877161277,7.93646182343,21.98229787891
14.00000000000,1.00000000000,F,SCD,bryophyte,1.00000000000,B2,3.61400000000,,0.96463964131,35.99839782904,37.31797480355,-1.88963481333,-28.47090116443,0.36600000000,-1.88963481333,0.36556409594,-0.00043590406,9.64639641314,-0.04204903333,-4.35904057075,1.07700000000,-28.47090116443,1.07991770846,0.00291770846,359.98397829043,10.50328299609,29.17708461908
15.00000000000,1.00000000000,G,SUD,bryophyte,1.00000000000,B3,3.32500000000,,1.07001987734,36.08483976506,33.72352283269,-1.91925088260,-28.57638931948,0.36600000000,-1.91925088260,0.36555328853,-0.00044671147,10.70019877344,-0.04779901565,-4.46711473845,1.07700000000,-28.57638931948,1.07980171767,0.00280171767,360.84839765057,10.10995330804,28.01717666995
16.00000000000,1.00000000000,H,BUD,bryophyte,1.00000000000,B4,4.06900000000,,1.26616441376,34.22785164083,27.03270702358,-0.02911083209,-28.93896456576,0.36600000000,-0.02911083209,0.36624302868,0.00024302868,12.66164413759,0.03077142622,2.43028676893,1.07700000000,-28.93896456576,1.07940304153,0.00240304153,342.27851640832,8.22509490761,24.03041532937
17.00000000000,1.00000000000,A,SCW,lichen,1.00000000000,B5,3.59000000000,,3.92270456465,37.42943433237,9.54174185579,-1.18720141229,-23.20713685354,0.36600000000,-1.18720141229,0.36582042537,-0.00017957463,39.22704564645,-0.07044182080,-1.79574626744,1.07700000000,-23.20713685354,1.08570519967,0.00870519967,374.29434332373,32.58306993068,87.05199667552
18.00000000000,1.00000000000,E,SUW,lichen,1.00000000000,B6,3.28600000000,,3.85370879856,39.49868117788,10.24952409290,-0.12129120989,-24.87596373782,0.36600000000,-0.12129120989,0.36620939091,0.00020939091,38.53708798562,0.08069315951,2.09390910751,1.07700000000,-24.87596373782,1.08387040342,0.00687040342,394.98681177883,27.13718744060,68.70403423950
19.00000000000,1.00000000000,F,SCD,lichen,1.00000000000,B7,3.75100000000,,3.33487020618,39.09115428568,11.72194174553,-0.55512429833,-24.13503968881,0.36600000000,-0.55512429833,0.36605107952,0.00005107952,33.34870206176,0.01703435593,0.51079516976,1.07700000000,-24.13503968881,1.08468502278,0.00768502278,390.91154285684,30.04164112067,76.85022780633
