nr,run,tt,treatment,aboveground,tray,placement,3-4 mg,comment,Sample Number,Name,Height (nA),N15,Height (nA),13C,Weight,PEAnA,PEA15N,PEAnA,PEA13C,gnsnSTD N weight,gnsnSTD C weight,1nA to x mgN STD,1nA to x mgC STD,mg N in sample,mg C in sample,%N,%C,C/N,d15Nkorr,d13Ckorr,Nat abun (15N),δ15Nkorr,atom% (15N),APE%,N pr DW,15N pr DW,15N pr N ,Nat abun (13C),δ13Ckorr,atom% (13C),APE%,C pr DW,13C pr DW  ,13C pr C 
nr,run,tt,treatment,aboveground,tray,placement,3-4 mg,comment,Sample Number,Name,Height (nA),N15,Height (nA),13C,,,,,,,,,,,,,,,,,(ATM%),(δ),(% of N),(% excess),(mgN/g DW),(μg/g DW),(μg/g N),(ATM%),(δ),(% of C),(% excess),(mg/g DW),(μg/g DW),(μg/g C)
12,1,D,BCD,bryophyte,1,A12,3.24,,390,EliseLabAboveTray1_12.raw,3.90392175,0.382917534,3.96896575,-29.22342272,3.24,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.043249461,1.104957908,1.334859897,34.10363914,25.54847832,0.446271702,-29.32321863,0.366,0.446271702,0.366416501,0.000416501,13.34859897,0.05559709,4.165013144,1.077,-29.32321863,1.078980525,0.001980525,341.0363914,6.754309478,19.80524557
,,,,,,,,PEACH,391,peach 2299u.raw,5.761087,2.028520806,3.95324825,-25.9352495,2.299,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.063824001,1.100582165,2.776163592,47.87221247,17.24401711,2.091874973,-26.03504541,0.366,2.091874973,0.367016996,0.001016996,27.76163592,0.282334865,10.16996499,1.077,-26.03504541,1.082596008,0.005596008,478.7221247,26.78932781,55.96007878
13,1,E,SUW,bryophyte,1,B1,3.492,,392,EliseLabAboveTray1_13.raw,3.57891425,1.197782278,4.5285555,-29.02543316,3.492,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.039648876,1.26074739,1.135420287,36.10387716,31.79780876,1.261136446,-29.12522908,0.366,1.261136446,0.366713854,0.000713854,11.35420287,0.081052382,7.138535692,1.077,-29.12522908,1.07919823,0.00219823,361.0387716,7.936461823,21.98229788
14,1,F,SCD,bryophyte,1,B2,3.614,,393,EliseLabAboveTray1_14.raw,3.14683275,-1.952988981,4.673077,-28.37110525,3.614,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.034862077,1.300982098,0.964639641,35.99839783,37.3179748,-1.889634813,-28.47090116,0.366,-1.889634813,0.365564096,-0.000435904,9.646396413,-0.042049033,-4.359040571,1.077,-28.47090116,1.079917708,0.002917708,359.9839783,10.503283,29.17708462
15,1,G,SUD,bryophyte,1,B3,3.325,,394,EliseLabAboveTray1_15.raw,3.21147025,-1.98260505,4.30971,-28.4765934,3.325,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.035578161,1.199820922,1.070019877,36.08483977,33.72352283,-1.919250883,-28.57638932,0.366,-1.919250883,0.365553289,-0.000446711,10.70019877,-0.047799016,-4.467114738,1.077,-28.57638932,1.079801718,0.002801718,360.8483977,10.10995331,28.01717667
16,1,H,BUD,bryophyte,1,B4,4.069,,395,EliseLabAboveTray1_16.raw,4.6504845,-0.092465,5.0026365,-28.83916865,4.069,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.05152023,1.392731283,1.266164414,34.22785164,27.03270702,-0.029110832,-28.93896457,0.366,-0.029110832,0.366243029,0.000243029,12.66164414,0.030771426,2.430286769,1.077,-28.93896457,1.079403042,0.002403042,342.2785164,8.225094908,24.03041533
17,1,A,SCW,lichen,1,B5,3.59,,396,EliseLabAboveTray1_17.raw,12.711607,-1.25055558,4.826578,-23.10734094,3.59,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.140825094,1.343716693,3.922704565,37.42943433,9.541741856,-1.187201412,-23.20713685,0.366,-1.187201412,0.365820425,-0.000179575,39.22704565,-0.070441821,-1.795746267,1.077,-23.20713685,1.0857052,0.0087052,374.2943433,32.58306993,87.05199668
18,1,E,SUW,lichen,1,B6,3.286,,397,EliseLabAboveTray1_18.raw,11.430543,-0.184645377,4.662102,-24.77616782,3.286,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.126632871,1.297926664,3.853708799,39.49868118,10.24952409,-0.12129121,-24.87596374,0.366,-0.12129121,0.366209391,0.000209391,38.53708799,0.08069316,2.093909108,1.077,-24.87596374,1.083870403,0.006870403,394.9868118,27.13718744,68.70403424
19,1,F,SCD,lichen,1,B7,3.751,,398,EliseLabAboveTray1_19.raw,11.291364,-0.618478466,5.2669255,-24.03524377,3.751,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.125090981,1.466309197,3.334870206,39.09115429,11.72194175,-0.555124298,-24.13503969,0.366,-0.555124298,0.36605108,5.11E-05,33.34870206,0.017034356,0.51079517,1.077,-24.13503969,1.084685023,0.007685023,390.9115429,30.04164112,76.85022781
20,1,G,SUD,lichen,1,B8,3.592,,399,EliseLabAboveTray1_20.raw,9.797291,-0.738103543,5.00382,-27.02784012,3.592,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.108538946,1.393060769,3.021685577,38.7823154,12.83466278,-0.674749376,-27.12763604,0.366,-0.674749376,0.366007427,7.43E-06,30.21685577,0.002244105,0.07426666,1.077,-27.12763604,1.081394688,0.004394688,387.823154,17.04361886,43.94688323
21,1,A,SCW,graminoid,1,B9,3.382,,400,EliseLabAboveTray1_21.raw,3.91523725,0.462631669,4.683507,-28.17601201,3.382,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.043374819,1.303885804,1.282519782,38.55369024,30.06089323,0.525985836,-28.27580793,0.366,0.525985836,0.36644559,0.00044559,12.82519782,0.057147783,4.455898737,1.077,-28.27580793,1.080132225,0.003132225,385.5369024,12.07588289,31.32224908
22,1,B,BUW,graminoid,1,B10,3.353,,401,EliseLabAboveTray1_22.raw,4.037462,-0.19944404,4.6659405,-28.41533953,3.353,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.044728882,1.2989953,1.333995874,38.74128541,29.04153316,-0.136089872,-28.51513545,0.366,-0.136089872,0.366203991,0.000203991,13.33995874,0.027212274,2.039906927,1.077,-28.51513545,1.07986907,0.00286907,387.4128541,11.11514655,28.69070149
23,1,C,BCW,graminoid,1,B11,3.778,,402,EliseLabAboveTray1_23.raw,5.7767445,0.215342746,5.071615,-29.05042224,3.778,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.063997462,1.41193486,1.693950822,37.37254791,22.06235709,0.278696913,-29.15021816,0.366,0.278696913,0.366355351,0.000355351,16.93950822,0.060194777,3.553513863,1.077,-29.15021816,1.079170752,0.002170752,373.7254791,8.112654685,21.70752367
24,1,D,BCD,graminoid,1,B12,3.191,,403,EliseLabAboveTray1_24.raw,4.5948465,1.145318779,4.2639145,-27.85409985,3.191,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.050903846,1.18707148,1.595231788,37.20061046,23.31987786,1.208672947,-27.95389577,0.366,1.208672947,0.366694709,0.000694709,15.95231788,0.110822215,6.947091697,1.077,-27.95389577,1.080486184,0.003486184,372.0061046,12.96881788,34.86184157
,,,,,,,,PEACH,404,peach 2631u.raw,6.5610025,1.907759115,4.3509405,-25.93905192,2.631,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.072685837,1.211299471,2.762669589,46.03950859,16.66486241,1.971113282,-26.03884783,0.366,1.971113282,0.36697293,0.00097293,27.62669589,0.268788339,9.729297358,1.077,-26.03884783,1.082591827,0.005591827,460.3950859,25.74449723,55.91827112
25,1,E,SUW,graminoid,1,C1,3.483,,405,EliseLabAboveTray1_25.raw,3.57026725,0.318741349,4.6865765,-29.17350801,3.483,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.039553081,1.304740351,1.135603817,37.46024551,32.98707256,0.382095517,-29.27330393,0.366,0.382095517,0.366393083,0.000393083,11.35603817,0.044638623,3.930827104,1.077,-29.27330393,1.07903541,0.00203541,374.6024551,7.624695171,20.35409824
26,1,F,SCD,graminoid,1,C2,3.249,,406,EliseLabAboveTray1_26.raw,2.89959125,-0.463826429,4.359364,-28.5711967,3.249,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.03212302,1.213644569,0.988704842,37.35440347,37.7811475,-0.400472262,-28.67099262,0.366,-0.400472262,0.366107514,0.000107514,9.887048421,0.010629975,1.075141347,1.077,-28.67099262,1.079697695,0.002697695,373.5440347,10.07707956,26.97695217
27,1,G,SUD,graminoid,1,C3,4.123,,407,EliseLabAboveTray1_27.raw,3.8676685,-1.274186426,5.4113885,-29.53118409,4.123,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.04284783,1.506527618,1.039239154,36.53959782,35.1599511,-1.210832259,-29.63098,0.366,-1.210832259,0.365811802,-0.000188198,10.39239154,-0.019558261,-1.881978875,1.077,-29.63098,1.078642115,0.001642115,365.3959782,6.000220668,16.4211459
28,1,H,BUD,graminoid,1,C4,3.405,,408,EliseLabAboveTray1_28.raw,4.570845,-0.20816093,4.5895215,-29.0411526,3.405,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.050637947,1.277720292,1.487164364,37.52482501,25.23246652,-0.144806763,-29.14094852,0.366,-0.144806763,0.36620081,0.00020081,14.87164364,0.029863716,2.008097895,1.077,-29.14094852,1.079180945,0.002180945,375.2482501,8.183958154,21.80945054
29,1,A,SCW,salix_stem,1,C5,3.78,,409,EliseLabAboveTray1_29.raw,4.802549,-4.728081934,5.872149,-30.24162873,3.78,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.053204871,1.634803091,1.407536276,43.24875902,30.72656794,-4.664727767,-30.34142465,0.366,-4.664727767,0.364551406,-0.001448594,14.07536276,-0.203894823,-14.48593737,1.077,-30.34142465,1.077860911,0.000860911,432.4875902,3.723333527,8.60911067
30,1,B,BUW,salix_stem,1,C6,3.359,,410,EliseLabAboveTray1_30.raw,5.7840125,-1.993266451,5.2777885,-29.73416306,3.359,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.06407798,1.469333451,1.907650501,43.74318102,22.93039579,-1.929912283,-29.83395898,0.366,-1.929912283,0.365549398,-0.000450602,19.07650501,-0.085959114,-4.506020042,1.077,-29.83395898,1.078418921,0.001418921,437.4318102,6.206809943,14.18920572
