nr,run,tt,treatment,aboveground,tray,placement,3-4 mg,comment,Sample Number,Name,Height (nA),N15,Height (nA),13C,Weight,PEAnA,PEA15N,PEAnA,PEA13C,gnsnSTD N weight,gnsnSTD C weight,1nA to x mgN STD,1nA to x mgC STD,mg N in sample,mg C in sample,%N,%C,C/N,d15Nkorr,d13Ckorr,Nat abun (15N),δ15Nkorr,atom% (15N),APE%,N pr DW,15N pr DW,15N pr N ,Nat abun (13C),δ13Ckorr,atom% (13C),APE%,C pr DW,13C pr DW  ,13C pr C 
nr,run,tt,treatment,aboveground,tray,placement,3-4 mg,comment,Sample Number,Name,Height (nA),N15,Height (nA),13C,,,,,,,,,,,,,,,,,(ATM%),(δ),(% of N),(% excess),(mgN/g DW),(μg/g DW),(μg/g N),(ATM%),(δ),(% of C),(% excess),(mg/g DW),(μg/g DW),(μg/g C)
41,1,F,SCD,salix_leaf,1,D4,3.49,,421,EliseLabAboveTray1_40.raw,3.9098735,-5.922414385,5.384417,-30.38474184,3.49,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.043315397,1.499018767,1.241128851,42.95182714,34.60706524,-5.859060218,-30.48453775,0.366,-5.859060218,0.364115563,-0.001884437,12.41128851,-0.23388292,-18.84437059,1.077,-30.48453775,1.077703543,0.000703543,429.5182714,3.021844376,7.035426843
42,1,G,SUD,salix_leaf,1,D5,3.73,,422,EliseLabAboveTray1_41.raw,5.474521,-5.112394048,5.8141835,-31.68972209,3.73,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.06064929,1.618665527,1.625986315,43.39585864,26.68894457,-5.04903988,-31.78951801,0.366,-5.04903988,0.364411161,-0.001588839,16.25986315,-0.258343034,-15.88838918,1.077,-31.78951801,1.076268552,-0.000731448,433.9585864,-3.174180223,-7.314477286
43,2,A,BUD,equisetum,1,D6,3.358,,423,EliseLabAboveTray1_42.raw,5.3495105,126.7360593,4.0462225,-23.5268295,3.358,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.059264365,1.126466145,1.764870908,33.54574584,19.0074785,126.7994135,-23.62662541,0.366,126.7994135,0.41250283,0.04650283,17.64870908,8.207149248,465.0283037,1.077,-23.62662541,1.085243998,0.008243998,335.4574584,27.65510697,82.4399824
44,2,B,BCD,equisetum,1,D7,2.65,det var alt der var,424,EliseLabAboveTray1_43.raw,5.6840185,3.076338643,3.3209305,-28.1550069,2.65,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.0629702,0.924545247,2.376233973,34.88849987,14.68226625,3.139692811,-28.25480282,0.366,3.139692811,0.367399351,0.001399351,23.76233973,0.332518472,13.9935072,1.077,-28.25480282,1.080155321,0.003155321,348.8849987,11.00844232,31.55321199
45,2,C,BCW,equisetum,1,D8,3.505,,425,EliseLabAboveTray1_44.raw,9.045672,1.820557062,4.837354,-26.09940846,3.505,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.100212161,1.346716725,2.859120146,38.4227311,13.43865565,1.88391123,-26.19920438,0.366,1.88391123,0.366941109,0.000941109,28.59120146,0.269074396,9.411090893,1.077,-26.19920438,1.082415515,0.005415515,384.227311,20.80788584,54.15514526
46,2,D,SCD,equisetum,1,D9,3.172,,426,EliseLabAboveTray1_45.raw,5.5875515,1.651749013,3.748033,-26.98800708,3.172,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.061901494,1.043450351,1.951497289,32.89566049,16.85662628,1.715103181,-27.08780299,0.366,1.715103181,0.36687951,0.00087951,19.51497289,0.171636095,8.79509779,1.077,-27.08780299,1.081438486,0.004438486,328.9566049,14.60069239,44.38485858
47,2,E,SCW,equisetum,1,D10,3.299,,427,EliseLabAboveTray1_46.raw,6.7328555,1.280470418,4.2339465,-27.40450377,3.299,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.074589704,1.178728405,2.260979216,35.72986981,15.80282983,1.343824586,-27.50429969,0.366,1.343824586,0.366744027,0.000744027,22.60979216,0.168223002,7.440271952,1.077,-27.50429969,1.080980534,0.003980534,357.2986981,14.22239726,39.80534308
48,2,F,SUD,equisetum,1,D11,3.209,,428,EliseLabAboveTray1_47.raw,6.348608,42.34680602,4.1095685,-24.48701697,3.209,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.070332832,1.144101637,2.191736735,35.65290238,16.26696391,42.41016018,-24.58681288,0.366,42.41016018,0.381727234,0.015727234,21.91736735,3.446995736,157.2723439,1.077,-24.58681288,1.084188316,0.007188316,356.5290238,25.62843282,71.88315989
49,2,G,BUW,equisetum,1,D12,3.254,,429,EliseLabAboveTray1_48.raw,6.0561395,2.432813198,4.0970295,-26.78297084,3.254,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.06709273,1.140610787,2.061854019,35.05257488,17.00051243,2.496167365,-26.88276676,0.366,2.496167365,0.367164525,0.001164525,20.61854019,0.240108109,11.64525259,1.077,-26.88276676,1.081663928,0.004663928,350.5257488,16.34826944,46.63928255
,,,,,,,,PEACH,430,peach 2937u.raw,7.412506,1.945419839,4.750842,-25.92936471,2.937,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.082119189,1.322631831,2.796022766,45.03342973,16.10624573,2.008774006,-26.02916062,0.366,2.008774006,0.366986672,0.000986672,27.96022766,0.275875848,9.866723945,1.077,-26.02916062,1.082602478,0.005602478,450.3342973,25.22988088,56.0247821
50,2,H,SUW,equisetum,1,E1,3.715,,431,EliseLabAboveTray1_49.raw,7.313744,181.8169371,4.681718,-21.37072406,3.715,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.081025057,1.303387747,2.181024422,35.08446157,16.08623049,181.8802913,-21.47051997,0.366,181.8802913,0.432579812,0.066579812,21.81024422,14.52121967,665.798123,1.077,-21.47051997,1.087614456,0.010614456,350.8446157,37.24024574,106.1445554
51,2,A,BUD,bryophyte,1,E2,3.252,,432,EliseLabAboveTray1_50.raw,3.694201,136.3797994,4.2537125,-26.5013351,3.252,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.040926077,1.184231249,1.258489442,36.41547505,28.93586058,136.4431536,-26.60113101,0.366,136.4431536,0.416018559,0.050018559,12.58489442,6.294782803,500.1855869,1.077,-26.60113101,1.081973592,0.004973592,364.1547505,18.11157165,49.73592032
52,2,B,BCD,bryophyte,1,E3,4.051,,433,EliseLabAboveTray1_51.raw,4.204256,0.052968767,4.9859555,-29.20332074,4.051,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.046576703,1.388087302,1.149758162,34.26529997,29.80218023,0.116322935,-29.30311666,0.366,0.116322935,0.366296099,0.000296099,11.49758162,0.03404425,2.960992207,1.077,-29.30311666,1.079002628,0.002002628,342.6529997,6.862065991,20.02628314
53,2,C,BCW,bryophyte,1,E4,3.317,,434,EliseLabAboveTray1_52.raw,4.02342025,-0.656386834,4.273512,-28.40579721,3.317,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.044573321,1.189743419,1.343784161,35.86805603,26.69182825,-0.593032667,-28.50559313,0.366,-0.593032667,0.366037246,3.72E-05,13.43784161,0.00500509,0.372462313,1.077,-28.50559313,1.079879563,0.002879563,358.6805603,10.32843097,28.79562517
54,2,D,SCD,bryophyte,1,E5,3.411,,435,EliseLabAboveTray1_53.raw,2.90198375,-1.34229236,4.1901075,-28.98218809,3.411,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.032149526,1.166523651,0.942524935,34.19887573,36.28431933,-1.278938192,-29.08198401,0.366,-1.278938192,0.365786949,-0.000213051,9.425249355,-0.020080569,-2.130508025,1.077,-29.08198401,1.079245781,0.002245781,341.9887573,7.680318706,22.4578105
55,2,E,SCW,bryophyte,1,E6,3.24,,436,EliseLabAboveTray1_54.raw,3.51792675,-1.050439447,4.18232225,-28.39958319,3.24,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.038973229,1.164356242,1.202877424,35.93692104,29.87579642,-0.98708528,-28.4993791,0.366,-0.98708528,0.365893451,-0.000106549,12.02877424,-0.012816565,-1.065492202,1.077,-28.4993791,1.079886395,0.002886395,359.3692104,10.37281572,28.86395222
56,2,F,SUD,bryophyte,1,E7,3.157,,437,EliseLabAboveTray1_55.raw,2.5007795,375.1513484,4.04080925,-24.35989378,3.157,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.027704798,1.1249591,0.877567256,35.63380106,40.60520809,375.2147026,-24.4596897,0.366,375.2147026,0.502986184,0.136986184,8.775672565,12.02145897,1369.86184,1.077,-24.4596897,1.084328083,0.007328083,356.3380106,26.11274667,73.2808342
57,2,G,BUW,bryophyte,1,E8,3.767,,438,EliseLabAboveTray1_56.raw,5.335895,34.61561665,4.6311005,-27.5470992,3.767,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.059113526,1.289295863,1.569246782,34.22606485,21.81050504,34.67897082,-27.64689511,0.366,34.67897082,0.378906825,0.012906825,15.69246782,2.025399388,129.0682518,1.077,-27.64689511,1.080823745,0.003823745,342.2606485,13.08717466,38.23745066
58,2,H,SUW,bryophyte,1,E9,3.452,,439,EliseLabAboveTray1_57.raw,3.3213995,130.7227839,4.461734,-27.3815993,3.452,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.036796008,1.242144321,1.065933032,35.98332333,33.75758348,130.7861381,-27.48139521,0.366,130.7861381,0.413956263,0.047956263,10.65933032,5.111816532,479.5626345,1.077,-27.48139521,1.081005719,0.004005719,359.8332333,14.41390686,40.05718629
59,2,D,SCD,lichen,1,E10,3.425,,440,EliseLabAboveTray1_58.raw,6.0902675,-0.775093932,4.3805385,-30.36356646,3.425,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.067470816,1.219539538,1.969950822,35.60699381,18.07506737,-0.711739764,-30.46336238,0.366,-0.711739764,0.365993928,-6.07E-06,19.69950822,-0.001196085,-0.060716478,1.077,-30.46336238,1.077726827,0.000726827,356.0699381,2.588013652,7.268273378
60,2,E,SCW,lichen,1,E11,3.027,,441,EliseLabAboveTray1_59.raw,8.149065,-0.9533143,3.98905825,-25.51524712,3.027,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.090279132,1.110551649,2.982462233,36.68819456,12.30131069,-0.889960133,-25.61504304,0.366,-0.889960133,0.365928893,-7.11E-05,29.82462233,-0.021207341,-0.711068222,1.077,-25.61504304,1.083057799,0.006057799,366.8819456,22.22497058,60.57798933
61,2,F,SUD,lichen,1,E12,3.131,,442,EliseLabAboveTray1_60.raw,7.0188395,-0.594586398,4.553436,-29.07473325,3.131,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.077757968,1.267674108,2.483486684,40.48783482,16.30281937,-0.53123223,-29.17452916,0.366,-0.53123223,0.366059798,5.98E-05,24.83486684,0.014850768,0.597980596,1.077,-29.17452916,1.079144021,0.002144021,404.8783482,8.680674876,21.44020522
,,,,,,,,PEACH,443,peach 2508u.raw,6.289253,1.812689243,4.2110655,-25.9236532,2.508,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.06967527,1.172358347,2.778120795,46.74475068,16.82603246,1.87604341,-26.02344911,0.366,1.87604341,0.366938238,0.000938238,27.78120795,0.260653868,9.382380652,1.077,-26.02344911,1.082608758,0.005608758,467.4475068,26.21799954,56.08758023
63,2,A,BUD,graminoid,1,F1,3.202,,444,EliseLabAboveTray1_61.raw,3.07188225,119.3321749,4.6033355,-27.62842223,3.202,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.03403174,1.281566102,1.062827612,40.02392573,37.65796567,119.395529,-27.72821814,0.366,119.395529,0.409803497,0.043803497,10.62827612,4.655556602,438.034969,1.077,-27.72821814,1.080734327,0.003734327,400.2392573,14.94624262,37.34326992
64,2,B,BCD,graminoid,1,F2,3.249,,445,EliseLabAboveTray1_62.raw,3.79868275,-0.220067279,4.1266645,-28.37066404,3.249,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.042083574,1.148861154,1.295277749,35.36045412,27.29951482,-0.156713112,-28.47045996,0.366,-0.156713112,0.366196465,0.000196465,12.95277749,0.025447676,1.964650123,1.077,-28.47045996,1.079918194,0.002918194,353.6045412,10.31886508,29.18193597
65,2,C,BCW,graminoid,1,F3,3.314,,446,EliseLabAboveTray1_63.raw,2.38420325,-0.991922103,4.5653765,-28.87910724,3.314,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.026413312,1.270998337,0.797022099,38.35239399,48.11961176,-0.928567935,-28.97890316,0.366,-0.928567935,0.365914805,-8.52E-05,7.970220994,-0.00679026,-0.851953754,1.077,-28.97890316,1.079359126,0.002359126,383.5239399,9.047813512,23.59126138
66,2,D,SCD,graminoid,1,F4,3.319,,447,EliseLabAboveTray1_64.raw,4.5115915,-0.427795951,4.634532,-28.19004152,3.319,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.049981509,1.29025119,1.505920722,38.87469691,25.81457068,-0.364441784,-28.28983743,0.366,-0.364441784,0.366120662,0.000120662,15.05920722,0.018170761,1.206621338,1.077,-28.28983743,1.080116799,0.003116799,388.7469691,12.11646039,31.16798678
67,2,E,SCW,graminoid,1,F5,3.662,,448,EliseLabAboveTray1_65.raw,4.2184295,-0.165042911,4.926618,-30.27967263,3.662,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.046733724,1.371567774,1.276180333,37.45406265,29.34856594,-0.101688743,-30.37946854,0.366,-0.101688743,0.366216544,0.000216544,12.76180333,0.027634932,2.165440965,1.077,-30.37946854,1.077819078,0.000819078,374.5406265,3.067778846,8.19077726
68,2,F,SUD,graminoid,1,F6,3.35,,449,EliseLabAboveTray1_66.raw,3.2075275,37.17729191,4.655908,-27.87241918,3.35,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.035534481,1.296202257,1.060730785,38.69260469,36.47730907,37.24064607,-27.9722151,0.366,37.24064607,0.379841366,0.013841366,10.60730785,1.468196264,138.4136564,1.077,-27.9722151,1.080466041,0.003466041,386.9260469,13.41101605,34.66041162
69,2,G,BUW,graminoid,1,F7,3.22,,450,EliseLabAboveTray1_67.raw,5.0405475,6.292596918,4.493394,-29.89676426,3.22,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.055841529,1.250958448,1.734208985,38.84964124,22.40193747,6.355951086,-29.99656017,0.366,6.355951086,0.368572962,0.002572962,17.34208985,0.446205364,25.72961897,1.077,-29.99656017,1.078240125,0.001240125,388.4964124,4.817840756,12.40124903
70,2,H,SUW,graminoid,1,F8,3.329,,451,EliseLabAboveTray1_68.raw,3.598349,70.50215017,4.62511,-27.80646167,3.329,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.039864184,1.287628111,1.197482236,38.67912619,32.30037576,70.56550433,-27.90625758,0.366,70.56550433,0.391997214,0.025997214,11.97482236,3.113120198,259.9721403,1.077,-27.90625758,1.080538565,0.003538565,386.7912619,13.68685873,35.38564615
71,2,C,BCW,salix_stem,1,F9,3.634,,452,EliseLabAboveTray1_69.raw,7.508712,-1.460630194,5.866578,-30.93862204,3.634,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.083185003,1.633252127,2.289075494,44.94364687,19.63397319,-1.397276026,-31.03841796,0.366,-1.397276026,0.365743766,-0.000256234,22.89075494,-0.058653931,-2.562341492,1.077,-31.03841796,1.077094487,9.45E-05,449.4364687,0.424657283,0.9448661
72,2,D,SCD,salix_stem,1,F10,3.513,,453,EliseLabAboveTray1_70.raw,7.8789265,-5.269227873,5.650069,-30.13394543,3.513,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.087286412,1.572976139,2.484668712,44.77586506,18.02085922,-5.205873705,-30.23374134,0.366,-5.205873705,0.364353928,-0.001646072,24.84668712,-0.408994273,-16.46071649,1.077,-30.23374134,1.07797932,0.00097932,447.7586506,4.384990949,9.793202082
73,2,E,SCW,salix_stem,1,F11,3.973,,454,EliseLabAboveTray1_71.raw,7.3831275,-4.263962681,6.161294,-29.75645729,3.973,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.08179372,1.715300902,2.058739491,43.17394668,20.97105869,-4.200608514,-29.8562532,0.366,-4.200608514,0.364720775,-0.001279225,20.58739491,-0.263359194,-12.79225444,1.077,-29.8562532,1.078394406,0.001394406,431.7394668,6.020200869,13.94405963
74,2,F,SUD,salix_stem,1,F12,3.817,,455,EliseLabAboveTray1_72.raw,3.86386,19.8296976,6.035973,-30.00585832,3.817,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.042805638,1.680411603,1.121447157,44.02440669,39.25678213,19.89305177,-30.10565423,0.366,19.89305177,0.373512341,0.007512341,11.21447157,0.84246931,75.12340682,1.077,-30.10565423,1.078120165,0.001120165,440.2440669,4.931460473,11.20165118
,,,,,,,,PEACH,456,peach 2531u.raw,6.488316,1.91141611,4.2472335,-25.89873685,2.531,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.071880582,1.182427499,2.840007192,46.71779923,16.44988765,1.974770277,-25.99853277,0.366,1.974770277,0.366974264,0.000974264,28.40007192,0.276691733,9.742641987,1.077,-25.99853277,1.082636154,0.005636154,467.1779923,26.33086906,56.36153563
75,2,G,BUW,salix_stem,1,G1,3.206,,457,EliseLabAboveTray1_73.raw,6.4253195,38.9067762,4.9644535,-30.0506415,3.206,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.071182678,1.382101157,2.220295618,43.10983022,19.41625695,38.97013037,-30.15043742,0.366,38.97013037,0.380472299,0.014472299,22.20295618,3.213278315,144.722995,1.077,-30.15043742,1.078070921,0.001070921,431.0983022,4.616724221,10.70921457
76,2,H,SUW,salix_stem,1,G2,3.825,,458,EliseLabAboveTray1_74.raw,5.917841,19.18526063,6.0029155,-28.98103581,3.825,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.065560595,1.671208413,1.714002475,43.69172322,25.49105025,19.2486148,-29.08083173,0.366,19.2486148,0.373277211,0.007277211,17.14002475,1.247315845,72.77211456,1.077,-29.08083173,1.079247048,0.002247048,436.9172322,9.817740224,22.47048068
77,2,D,SCD,salix_leaf,1,G3,3.324,,459,EliseLabAboveTray1_75.raw,4.627918,-4.648998337,5.270123,-30.58234175,3.324,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.051270228,1.46719938,1.542425626,44.13957219,28.61698576,-4.58564417,-30.68213766,0.366,-4.58564417,0.364580266,-0.001419734,15.42425626,-0.218983439,-14.19734187,1.077,-30.68213766,1.077486259,0.000486259,441.3957219,2.146327883,4.862593306
78,2,E,SCW,salix_leaf,1,G4,3.974,,460,EliseLabAboveTray1_76.raw,6.387896,-3.686327786,6.015356,-29.67528202,3.974,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.070768083,1.674671842,1.780777116,42.14071066,23.66422518,-3.622973618,-29.77507794,0.366,-3.622973618,0.364931567,-0.001068433,17.80777116,-0.190264168,-10.68433364,1.077,-29.77507794,1.078483666,0.001483666,421.4071066,6.252273048,14.83665783
79,2,F,SUD,salix_leaf,1,G5,3.869,,461,EliseLabAboveTray1_77.raw,4.736515,17.69513114,5.9666975,-29.88914866,3.869,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.052473316,1.661125342,1.356250087,42.93422956,31.65657275,17.75848531,-29.98894457,0.366,17.75848531,0.372733519,0.006733519,13.56250087,0.913233528,67.3351867,1.077,-29.98894457,1.078248499,0.001248499,429.3422956,5.360334282,12.48499003
81,2,H,SUW,salix_leaf,1,G6,3.428,,462,EliseLabAboveTray1_78.raw,4.745704,-4.622334337,5.3786325,-30.39303431,3.428,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.052575116,1.497408365,1.533696496,43.68169094,28.48131364,-4.558980169,-30.49283022,0.366,-4.558980169,0.364589996,-0.001410004,15.33696496,-0.216251795,-14.10003841,1.077,-30.49283022,1.077694424,0.000694424,436.8169094,3.033362343,6.944242033
82,3,A,BCD,equisetum,1,G7,3.168,,463,EliseLabAboveTray1_79.raw,6.2840315,1.553809379,4.05794875,-27.70495365,3.168,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.069617423,1.129730727,2.197519676,35.66069214,16.22770095,1.617163547,-27.80474956,0.366,1.617163547,0.366843771,0.000843771,21.97519676,0.185420303,8.437708445,1.077,-27.80474956,1.080650177,0.003650177,356.6069214,13.01678506,36.50177347
83,3,B,BCW,equisetum,1,G8,3.459,,464,EliseLabAboveTray1_80.raw,6.813648,2.314389142,4.4846285,-27.34974851,3.459,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.075484761,1.248518138,2.182271212,36.09477125,16.54000248,2.377743309,-27.44954442,0.366,2.377743309,0.367121312,0.001121312,21.82271212,0.244700612,11.21311644,1.077,-27.44954442,1.08104074,0.00404074,360.9477125,14.58495763,40.40739732
84,3,C,BUD,equisetum,1,G9,3.312,,465,EliseLabAboveTray1_81.raw,6.7798355,19.19429148,4.3232865,-25.80327512,3.312,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.075110171,1.203600612,2.267819161,36.3405982,16.02446915,19.25764565,-25.90307103,0.366,19.25764565,0.373280506,0.007280506,22.67819161,1.651087205,72.8050646,1.077,-25.90307103,1.082741114,0.005741114,363.405982,20.86355055,57.41113681
85,3,D,SUW,equisetum,1,G10,3.373,,466,EliseLabAboveTray1_82.raw,7.343445,8.746920347,4.2367775,-26.19345972,3.373,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.081354099,1.179516554,2.411921102,34.96936122,14.49855105,8.810274515,-26.29325564,0.366,8.810274515,0.369468525,0.003468525,24.11921102,0.836580815,34.68524797,1.077,-26.29325564,1.082312105,0.005312105,349.6936122,18.57609027,53.12104546
86,3,E,SCD,equisetum,1,G11,3.336,,467,EliseLabAboveTray1_83.raw,5.3580735,0.377960674,3.79874775,-27.47132064,3.336,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.05935923,1.057569309,1.779353417,31.70171791,17.81642567,0.441314841,-27.57111656,0.366,0.441314841,0.366414693,0.000414693,17.79353417,0.073788452,4.146925011,1.077,-27.57111656,1.080907067,0.003907067,317.0171791,12.38607235,39.0706661
87,3,F,SUD,equisetum,1,G12,3.761,,468,EliseLabAboveTray1_84.raw,6.941611,33.35259901,4.6442505,-26.20055403,3.761,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.076902395,1.292956816,2.044732647,34.37800626,16.81295905,33.41595318,-26.30034994,0.366,33.41595318,0.37844605,0.01244605,20.44732647,2.544884377,124.4604952,1.077,-26.30034994,1.082304304,0.005304304,343.7800626,18.23514066,53.04304305
,,,,,,,,PEACH,469,peach 2539u.raw,6.38965,1.913486963,4.241684,-25.85689547,2.539,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.070787514,1.180882521,2.788007649,46.50974875,16.68207358,1.97684113,-25.95669139,0.366,1.97684113,0.36697502,0.00097502,27.88007649,0.271836285,9.750198673,1.077,-25.95669139,1.082682158,0.005682158,465.0974875,26.42757485,56.82158162
88,3,G,BUW,equisetum,1,H1,3.447,,470,EliseLabAboveTray1_85.raw,8.293611,96.39552417,4.4549255,-23.98282191,3.447,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.09188048,1.240248838,2.665520151,35.98052911,13.49850201,96.45887833,-24.08261783,0.366,96.45887833,0.401440246,0.035440246,26.65520151,9.446668856,354.4024551,1.077,-24.08261783,1.084742658,0.007742658,359.8052911,27.85849396,77.42658223
89,3,H,SCW,equisetum,1,H2,3.487,,471,EliseLabAboveTray1_86.raw,8.0481525,3.184982633,4.5431295,-26.42212102,3.487,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.089161176,1.264804784,2.556959455,36.27200413,14.18560004,3.2483368,-26.52191694,0.366,3.2483368,0.367438995,0.001438995,25.56959455,0.367945267,14.38995314,1.077,-26.52191694,1.082060689,0.005060689,362.7200413,18.35613337,50.60689039
90,3,A,BCD,bryophyte,1,H3,4.131,,472,EliseLabAboveTray1_87.raw,5.136594,-0.128992654,4.256022,-28.46578233,4.131,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.056905577,1.184874212,1.377525468,28.68250332,20.821759,-0.065638487,-28.56557825,0.366,-0.065638487,0.366229699,0.000229699,13.77525468,0.031641661,2.296992841,1.077,-28.56557825,1.079813605,0.002813605,286.8250332,8.07012384,28.13605127
91,3,B,BCW,bryophyte,1,H4,3.745,,473,EliseLabAboveTray1_88.raw,3.84701725,-0.156268115,4.3117775,-28.44088331,3.745,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.042619046,1.200396513,1.138025264,32.05331143,28.16572921,-0.092913947,-28.54067923,0.366,-0.092913947,0.366219746,0.000219746,11.38025264,0.025007665,2.197461292,1.077,-28.54067923,1.079840983,0.002840983,320.5331143,9.10629182,28.40983166
92,3,C,BUD,bryophyte,1,H5,3.85,,474,EliseLabAboveTray1_89.raw,4.957138,218.9675955,4.28343,-24.12773684,3.85,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.05491748,1.192504584,1.426428054,30.97414505,21.71448112,219.0309497,-24.22753275,0.366,219.0309497,0.446116658,0.080116658,14.26428054,11.42806485,801.1665797,1.077,-24.22753275,1.084583331,0.007583331,309.7414505,23.48871855,75.83330714
93,3,D,SUW,bryophyte,1,H6,3.033,,475,EliseLabAboveTray1_90.raw,2.90447575,261.8534962,3.75949975,-25.19052681,3.033,7.00356725,1.916645833,4.547090906,-25.93020408,2.751375,2.751375,0.011078465,0.278399457,0.032177133,1.046642688,1.06090119,34.50849613,32.5275308,261.9168504,-25.29032273,0.366,261.9168504,0.461738718,0.095738718,10.6090119,10.15693195,957.3871772,1.077,-25.29032273,1.083414825,0.006414825,345.0849613,22.13659554,64.1482476
