run,date,hrs_after_incubation,pipe_nr,treatment,tinytag,atmospheric_pressure,thaw_depth_center,thaw_depth_periphery,soil_pipe_cm_1,soil_pipe_cm_2,soil_pipe_cm_3,pipe_lid_cm_1,pipe_lid_cm_2,pipe_lid_cm_3,C13_pipe_lid_cm_1,C13_pipe_lid_cm_2,C13_pipe_lid_cm_3,,comment
6,11/30/2025,30,51,BUW,F,978,-,-,2.3,4.5,4.3,0.9,0.6,0.5,-,-,-,,
6,11/30/2025,30,56,SUW,G,979,-,-,3.9,3.5,3.8,0.3,1.2,0.6,-,-,-,,
6,11/30/2025,30,52,BCD,H,979,-,-,4.6,4.5,5,0.4,0.9,0.6,-,-,-,,
6,11/30/2025,36,53,SCD,A,980,2.8,2.5,4.4,4.6,5,0.6,0.9,0.8,-,-,-,,
6,11/30/2025,36,49,BUD,B,980,1.6,1.5,3,2.9,4,0.8,1,0.8,-,-,-,,
6,11/30/2025,36,55,SUD,C,980,1.5,1.8,3.3,4,4,0.9,0.9,1.2,-,-,-,,
6,11/30/2025,36,54,SCW,D,980,1.7,2.0,2.8,4.2,3.8,1,0.9,0.6,-,-,-,,
6,11/30/2025,36,50,BCW,E,980,1.4,1.6,4.8,3,3.4,1,1.1,0.8,-,-,-,,
6,11/30/2025,36,51,BUW,F,980,2.4,1.5,2.3,4.5,4.3,0.6,0.6,0.5,-,-,-,,
6,11/30/2025,36,56,SUW,G,979,1.2,1.3,3.9,3.5,3.8,0.6,0.6,0.3,-,-,-,,
6,11/30/2025,36,52,BCD,H,979,2.0,2.4,4.6,4.5,5,0.6,1,0.2,-,-,-,,
6,12/1/2025,48,53,SCD,A,987,2.7,2.8,4.4,4.6,5,1,1.2,1.1,0.6,0.9,1,,
6,12/1/2025,48,49,BUD,B,987,1.5,1.6,3,2.9,4,0.6,0.8,0.5,0.9,0.6,1.2,,
6,12/1/2025,48,55,SUD,C,988,2.3,2.5,3.3,4,4,1,0.7,1,1.1,0.9,1.6,,
6,12/1/2025,48,54,SCW,D,988,1.0,1.3,2.8,4.2,3.8,0.9,0.9,0.6,0.9,0.7,0.8,,
6,12/1/2025,48,50,BCW,E,987,1.2,0.9,4.8,3,3.4,0.8,0,0.4,0.7,1.3,0.8,,
6,12/1/2025,48,51,BUW,F,987,1.9,2.7,2.3,4.5,4.3,1,0.7,0.8,1,0.6,0.9,,
6,12/1/2025,48,56,SUW,G,987,2.0,2.3,3.9,3.5,3.8,1.2,0.3,0.6,1.5,0.3,0.5,,
6,12/1/2025,48,52,BCD,H,987,1.6,2.5,4.6,4.5,5,1.2,0.4,0.4,1.4,1,0.6,,
6,12/1/2025,54,53,SCD,A,991,-,-,4.4,4.6,5,1.1,0.9,0.6,-,-,-,,
6,12/1/2025,54,49,BUD,B,991,-,-,3,2.9,4,1.1,1.2,1.2,-,-,-,,
6,12/1/2025,54,55,SUD,C,991,-,-,3.3,4,4,1.1,1.2,1.2,-,-,-,,
6,12/1/2025,54,54,SCW,D,991,-,-,2.8,4.2,3.8,0.7,0.9,0.6,-,-,-,,
6,12/1/2025,54,50,BCW,E,991,-,-,4.8,3,3.4,0.9,1.3,1,-,-,-,,
6,12/1/2025,54,51,BUW,F,992,-,-,2.3,4.5,4.3,0.9,0.8,0.3,-,-,-,,
6,12/1/2025,54,56,SUW,G,992,-,-,3.9,3.5,3.8,0.2,1.5,0.5,-,-,-,,
6,12/1/2025,54,52,BCD,H,992,-,-,4.6,4.5,5,0.4,1,0.6,-,-,-,,
6,12/1/2025,60,53,SCD,A,994,3.9,3.6,4.4,4.6,5,1,0.8,0.7,-,-,-,,
6,12/1/2025,60,49,BUD,B,994,3.3,2.5,3,2.9,4,0.9,0.8,0.7,-,-,-,,
6,12/1/2025,60,55,SUD,C,994,3.2,3.1,3.3,4,4,0.9,1.1,1.2,-,-,-,,
6,12/1/2025,60,54,SCW,D,994,2.8,2.3,2.8,4.2,3.8,0.7,0.5,0.7,-,-,-,,
6,12/1/2025,60,50,BCW,E,994,2,2.1,4.8,3,3.4,0.8,1,1,-,-,-,,
6,12/1/2025,60,51,BUW,F,994,2.6,2,2.3,4.5,4.3,0.7,0.5,0.4,-,-,-,,
6,12/1/2025,60,56,SUW,G,994,2.5,2.6,3.9,3.5,3.8,0.2,1.3,0.3,-,-,-,,
6,12/1/2025,60,52,BCD,H,994,2.6,3,4.6,4.5,5,0.2,0.8,0.8,-,-,-,,
6,12/2/2025,72,53,SCD,A,1000,3.1,4.1,4.4,4.6,5,0.4,0.7,1,-,-,-,,
6,12/2/2025,72,49,BUD,B,1000,2.8,3.4,3,2.9,4,1,0.9,0.7,-,-,-,,
6,12/2/2025,72,55,SUD,C,1000,3.2,2.9,3.3,4,4,1,1.1,0.9,-,-,-,,
6,12/2/2025,72,54,SCW,D,1000,2.8,3,2.8,4.2,3.8,0.4,0.9,0.6,-,-,-,,
6,12/2/2025,72,50,BCW,E,1001,2,2.3,4.8,3,3.4,0.9,1,0.8,-,-,-,,
6,12/2/2025,72,51,BUW,F,1000,2.5,2.7,2.3,4.5,4.3,0.7,0.8,0.8,-,-,-,,
6,12/2/2025,72,56,SUW,G,1000,2.7,2.7,3.9,3.5,3.8,1.2,0.4,0.5,-,-,-,,
6,12/2/2025,72,52,BCD,H,1000,2.4,4.5,4.6,4.5,5,1,0.6,0.5,-,-,-,,
6,12/2/2025,78,53,SCD,A,1002,-,-,4.4,4.6,5,0.5,0.7,1.2,-,-,-,,
6,12/2/2025,78,49,BUD,B,1002,-,-,3,2.9,4,0.6,1,1,-,-,-,,
6,12/2/2025,78,55,SUD,C,1002,-,-,3.3,4,4,0.6,0.7,1,-,-,-,,
6,12/2/2025,78,54,SCW,D,1002,-,-,2.8,4.2,3.8,0.4,0.8,0.6,-,-,-,,
6,12/2/2025,78,50,BCW,E,1002,-,-,4.8,3,3.4,1,1.3,0.8,-,-,-,,
6,12/2/2025,78,51,BUW,F,1002,-,-,2.3,4.5,4.3,0.8,0.6,0.9,-,-,-,,
6,12/2/2025,78,56,SUW,G,1002,-,-,3.9,3.5,3.8,1.1,0.2,0.6,-,-,-,,
6,12/2/2025,78,52,BCD,H,1002,-,-,4.6,4.5,5,0.7,0.7,0.7,-,-,-,,
6,12/2/2025,84,53,SCD,A,1003,3.6,3.4,4.4,4.6,5,0.3,1,0.8,-,-,-,,
6,12/2/2025,84,49,BUD,B,1003,3.3,3.8,3,2.9,4,0.6,0.7,0.6,-,-,-,,
6,12/2/2025,84,55,SUD,C,1004,3.3,3.6,3.3,4,4,0.8,1,0.8,-,-,-,,
6,12/2/2025,84,54,SCW,D,1004,2.4,3.0,2.8,4.2,3.8,0.4,0.8,0.8,-,-,-,,
6,12/2/2025,84,50,BCW,E,1004,2.9,3.6,4.8,3,3.4,1,1.1,0.5,-,-,-,,
6,12/2/2025,84,51,BUW,F,1003,2.9,3.1,2.3,4.5,4.3,0.7,0.6,0.5,-,-,-,,
6,12/2/2025,84,56,SUW,G,1003,5.5,5.8,3.9,3.5,3.8,1,0.4,0.5,-,-,-,,
6,12/2/2025,84,52,BCD,H,1003,5.3,4.8,4.6,4.5,5,0.7,0.7,0.6,-,-,-,,
6,12/3/2025,96,53,SCD,A,1006,5.4,5.4,4.4,4.6,5,0.4,0.8,0.8,0.8,0.5,1,,
6,12/3/2025,96,49,BUD,B,1007,7.3,5.7,3,2.9,4,0.5,0.5,0.8,0.6,0.8,0.7,,
6,12/3/2025,96,55,SUD,C,1007,4.5,4.2,3.3,4,4,0.9,1,1,1.1,1.6,0.4,,
6,12/3/2025,96,54,SCW,D,1007,4.2,4.6,2.8,4.2,3.8,0.7,0.5,0.5,0.2,0.2,1.2,,
6,12/3/2025,96,50,BCW,E,1006,5.0,4.2,4.8,3,3.4,0.9,1.2,0.9,1,0.5,1.4,,
6,12/3/2025,96,51,BUW,F,1006,4.4,4.5,2.3,4.5,4.3,0.4,0.4,0.5,0.4,0.6,0.5,,
6,12/3/2025,96,56,SUW,G,1006,7.5,6.8,3.9,3.5,3.8,0.7,0.1,0.3,0.8,0.4,0.6,,
6,12/3/2025,96,52,BCD,H,1006,6.3,6.2,4.6,4.5,5,0.9,0.5,0.6,0.9,1,0.5,,
6,12/3/2025,102,53,SCD,A,1008,-,-,4.4,4.6,5,1,1.1,1.1,-,-,-,,
6,12/3/2025,102,49,BUD,B,1008,-,-,3,2.9,4,0.8,1.2,0.9,-,-,-,,
6,12/3/2025,102,55,SUD,C,1008,-,-,3.3,4,4,1,0.8,1.1,-,-,-,,
6,12/3/2025,102,54,SCW,D,1008,-,-,2.8,4.2,3.8,0.9,0.8,0.9,-,-,-,,
6,12/3/2025,102,50,BCW,E,1008,-,-,4.8,3,3.4,1,1.4,0.3,-,-,-,,
6,12/3/2025,102,51,BUW,F,1008,-,-,2.3,4.5,4.3,0.8,0.8,0.6,-,-,-,,
6,12/3/2025,102,56,SUW,G,1008,-,-,3.9,3.5,3.8,1.4,0.3,0.4,-,-,-,,
6,12/3/2025,102,52,BCD,H,1008,-,-,4.6,4.5,5,1,0.2,0.6,-,-,-,,
6,12/3/2025,108,53,SCD,A,1011,4.8,4.7,4.4,4.6,5,1.4,0.6,0.8,-,-,-,,
6,12/3/2025,108,49,BUD,B,1011,3.9,4.7,3,2.9,4,0.4,1.2,0.1,-,-,-,,
6,12/3/2025,108,55,SUD,C,1011,4.3,4.2,3.3,4,4,1.5,1,1.3,-,-,-,,
6,12/3/2025,108,54,SCW,D,1011,3.9,4.2,2.8,4.2,3.8,0.4,0.5,1,-,-,-,,
6,12/3/2025,108,50,BCW,E,1011,4.6,3.3,4.8,3,3.4,0.9,1,0.4,-,-,-,,
6,12/3/2025,108,51,BUW,F,1011,3.6,3.7,2.3,4.5,4.3,0.6,0.7,0.5,-,-,-,,
6,12/3/2025,108,56,SUW,G,1011,5.1,6.2,3.9,3.5,3.8,0.9,0.8,0.3,-,-,-,,
6,12/3/2025,108,52,BCD,H,1010,5.4,5.6,4.6,4.5,5,1,0.7,0.3,-,-,-,,
6,12/4/2025,120,53,SCD,A,1014,5.5,6.4,4.4,4.6,5,0.3,1.1,0.8,-,-,-,,
6,12/4/2025,120,49,BUD,B,1015,7.6,7.9,3,2.9,4,0.6,0.7,0.5,-,-,-,,
