run,date,hrs_after_incubation,pipe_nr,treatment,tinytag,atmospheric_pressure,thaw_depth_cm,thaw_depth_center,thaw_depth_periphery,soil_pipe_cm_1,soil_pipe_cm_2,soil_pipe_cm_3,pipe_lid_cm_1,pipe_lid_cm_2,pipe_lid_cm_3,C13_pipe_lid_cm_1,C13_pipe_lid_cm_2,C13_pipe_lid_cm_3,,comment
3,11/2/2025,1,25,BCD,A,1002,-,-,-,3.9,3.4,3,1.4,1.1,1.4,-,-,-,,
3,11/2/2025,1,27,BCW,B,1002,-,-,-,2.9,4.4,3.2,1.7,1.2,1.5,-,-,-,,
3,11/2/2025,1,26,BUD,C,1002,-,-,-,3.3,2.6,2.6,1.6,1.1,1.4,-,-,-,,
3,11/2/2025,1,29,SUW,D,1002,-,-,-,3.8,3.9,3.7,1.5,1.2,1,-,-,-,,
3,11/2/2025,1,32,SCD,E,1002,-,-,-,3.7,3.2,4.4,1.2,1.2,1.4,-,-,-,,
3,11/2/2025,1,30,SUD,F,1002,-,-,-,2.9,3.5,2.8,1.2,1.4,1.3,-,-,-,,
3,11/2/2025,1,28,BUW,G,1003,-,-,-,3.6,3.9,4.2,1.4,1.4,1,-,-,-,,
3,11/2/2025,1,31,SCW,H,1003,-,-,-,4.8,3.1,3.8,1.3,1.4,1.3,-,-,-,,
3,11/2/2025,2,25,BCD,A,1003,-,-,-,3.9,3.4,3,0.9,1.1,0.6,-,-,-,,
3,11/2/2025,2,27,BCW,B,1003,-,-,-,2.9,4.4,3.2,0.9,1.1,1.3,-,-,-,,
3,11/2/2025,2,26,BUD,C,1003,-,-,-,3.3,2.6,2.6,0.8,1.5,1.6,-,-,-,,
3,11/2/2025,2,29,SUW,D,1003,-,-,-,3.8,3.9,3.7,1.3,1.4,0.7,-,-,-,,
3,11/2/2025,2,32,SCD,E,1002,-,-,-,3.7,3.2,4.4,0.7,1.4,0.6,-,-,-,,
3,11/2/2025,2,30,SUD,F,1002,-,-,-,2.9,3.5,2.8,0.8,1.1,0.5,-,-,-,,
3,11/2/2025,2,28,BUW,G,1002,-,-,-,3.6,3.9,4.2,0.6,0.7,1,-,-,-,,
3,11/2/2025,2,31,SCW,H,1002,-,-,-,4.8,3.1,3.8,0.9,0.7,0.8,-,-,-,,
3,11/2/2025,6,25,BCD,A,1003,-,-,-,3.9,3.4,3,1.1,1,0.5,0.8,1.4,1.1,,
3,11/2/2025,6,27,BCW,B,1003,-,-,-,2.9,4.4,3.2,0.7,0.9,0.8,1.2,0.9,1.2,,
3,11/2/2025,6,26,BUD,C,1003,-,-,-,3.3,2.6,2.6,1.4,1.3,0.7,0.7,1.9,1.1,,
3,11/2/2025,6,29,SUW,D,1003,-,-,-,3.8,3.9,3.7,1.1,0.6,1.3,1.4,0.7,1.2,,
3,11/2/2025,6,32,SCD,E,1003,-,-,-,3.7,3.2,4.4,1.3,0.7,0.9,0.8,0.8,0.7,,
3,11/2/2025,6,30,SUD,F,1003,-,-,-,2.9,3.5,2.8,0.7,1,1.1,0.9,1.3,1.7,,
3,11/2/2025,6,28,BUW,G,1003,-,-,-,3.6,3.9,4.2,0.3,0.5,0.7,0.6,0.7,1.1,,
3,11/2/2025,6,31,SCW,H,1004,-,-,-,4.8,3.1,3.8,0.7,0.5,0.7,1,1.1,1.2,,
3,11/2/2025,12,25,BCD,A,1005,1.7,1.6,2.3,3.9,3.4,3,1.7,0.8,1.3,-,-,-,,
3,11/2/2025,12,27,BCW,B,1005,2.1,1.2,2.0,2.9,4.4,3.2,1.6,1.4,0.9,-,-,-,,
3,11/2/2025,12,26,BUD,C,1004,2.1,1.5,1.3,3.3,2.6,2.6,1.1,1.1,1.6,-,-,-,,
3,11/2/2025,12,29,SUW,D,1004,2.9,2.2,2.3,3.8,3.9,3.7,1.2,0.8,1.6,-,-,-,,
3,11/2/2025,12,32,SCD,E,1004,3.3,2.0,1.8,3.7,3.2,4.4,1.2,1.1,1.2,-,-,-,,
3,11/2/2025,12,30,SUD,F,1004,2.4,1.9,2.0,2.9,3.5,2.8,1.5,1.4,0.7,-,-,-,,
3,11/2/2025,12,28,BUW,G,1004,1.3,1.3,1.7,3.6,3.9,4.2,0.9,1.1,1.3,-,-,-,,
3,11/2/2025,12,31,SCW,H,1004,1.8,1.3,1.9,4.8,3.1,3.8,1.1,1.1,0.8,-,-,-,,
3,11/3/2025,24,25,BCD,A,1005,2.1,1.0,1.5,3.9,3.4,3,0.9,1,0.7,1.1,0.6,0.8,,
