run,treatment,layer,diameter,tray,position,nr,4-5mg,comment,Sample Number,Name,Height (nA),N15,Height (nA),13C,Weight,PEAnA,PEA15N,PEAnA,PEA13C,gnsnSTD N weight,gnsnSTD C weight,1nA to x mgN STD,1nA to x mgC STD,mg N in sample,mg C in sample,%N,%C,C/N,d15Nkorr,d13Ckorr,Nat abun (15N),δ15Nkorr,atom% (15N),APE%,N pr DW,15N pr DW,15N pr N ,Nat abun (13C),δ13Ckorr,atom% (13C),APE%,C pr DW,13C pr DW  ,13C pr C 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(ATM%),(δ),(% of N),(% excess),(mgN/g DW),(μg/g DW),(μg/g N),(ATM%),(δ),(% of C),(% excess),(mg/g DW),(μg/g DW),(μg/g C)
1,BCW,bottom,coarse,1,A12,12,4.697,,456,EliseLabRoots_12.raw,4.6674445,-4.662370895,6.301931,-24.76051738,4.697,4.909792417,-1.926293093,3.543452667,-24.42037806,2.133333333,2.133333333,0.012253064,0.277002901,0.057190496,1.745653166,1.217596242,37.16527924,30.52348386,-0.756077801,-26.37013932,0.366,-0.756077801,0.365977749,-2.22512E-05,12.17596242,-0.002709301,-0.22251227,1.08,-26.37013932,1.08222757,0.00222757,371.6527924,8.278827109,22.27570269
,,,,,,,,PEACH,457,peach2816u.raw,6.47752,-3.642824539,4.5556465,-24.22784003,2.816,4.909792417,-1.926293093,3.543452667,-24.42037806,2.133333333,2.133333333,0.012253064,0.277002901,0.079369466,1.261927294,2.818517975,44.81275904,15.89940509,0.263468554,-25.83746197,0.366,0.263468554,0.366349794,0.000349794,28.18517975,0.098590176,3.497943827,1.08,-25.83746197,1.082813251,0.002813251,448.1275904,12.60695249,28.13250682
1,BUD,top,fine,1,B1,13,4.084,,458,EliseLabRoots_13.raw,4.1982075,-6.479474055,5.474233,-26.32540799,4.084,4.909792417,-1.926293093,3.543452667,-24.42037806,2.133333333,2.133333333,0.012253064,0.277002901,0.051440905,1.516378419,1.259571611,37.12973603,29.47806676,-2.573180962,-27.93502993,0.366,-2.573180962,0.365314658,-0.000685342,12.59571611,-0.086323794,-6.853424866,1.08,-27.93502993,1.080506928,0.000506928,371.2973603,1.88221047,5.069280504
1,BUD,top,coarse,1,B2,14,4.183,,459,EliseLabRoots_14.raw,4.486036,-0.070057823,5.6803715,-23.49128612,4.183,4.909792417,-1.926293093,3.543452667,-24.42037806,2.133333333,2.133333333,0.012253064,0.277002901,0.054967686,1.573479382,1.314073286,37.61605025,28.62553454,3.83623527,-25.10090806,0.366,3.83623527,0.367653521,0.001653521,13.14073286,0.217284789,16.53521091,1.08,-25.10090806,1.083623083,0.003623083,376.1605025,13.6286056,36.2308257
1,BUD,middle,fine,1,B3,15,4.996,,460,EliseLabRoots_15.raw,5.3107775,-4.298792135,6.488106,-25.52411717,4.996,4.909792417,-1.926293093,3.543452667,-24.42037806,2.133333333,2.133333333,0.012253064,0.277002901,0.065073296,1.797224181,1.302507923,35.97326223,27.61845943,-0.392499042,-27.13373911,0.366,-0.392499042,0.366110424,0.000110424,13.02507923,0.01438277,1.104236686,1.08,-27.13373911,1.081387978,0.001387978,359.7326223,4.993009036,13.87977827
1,BUD,middle,coarse,1,B4,16,4.527,,461,EliseLabRoots_16.raw,4.332189,-5.177655641,6.183219,-24.99916282,4.527,4.909792417,-1.926293093,3.543452667,-24.42037806,2.133333333,2.133333333,0.012253064,0.277002901,0.053082588,1.712769598,1.172577611,37.83453938,32.26612808,-1.271362548,-26.60878476,0.366,-1.271362548,0.365789714,-0.000210286,11.72577611,-0.024657704,-2.102863313,1.08,-26.60878476,1.081965177,0.001965177,378.3453938,7.435155202,19.65176615
1,BUD,bottom,fine,1,B5,17,4.249,,462,EliseLabRoots_17.raw,3.91171725,-6.297302211,5.661172,-25.43651528,4.249,4.909792417,-1.926293093,3.543452667,-24.42037806,2.133333333,2.133333333,0.012253064,0.277002901,0.047930521,1.568161065,1.128042392,36.90659131,32.71737973,-2.391009118,-27.04613722,0.366,-2.391009118,0.365381135,-0.000618865,11.28042392,-0.069810544,-6.188645433,1.08,-27.04613722,1.081484298,0.001484298,369.0659131,5.478039753,14.84298484
1,BUD,bottom,coarse,1,B6,18,4.671,,463,EliseLabRoots_18.raw,2.56090725,-5.470774534,6.3209885,-25.00828419,4.671,4.909792417,-1.926293093,3.543452667,-24.42037806,2.133333333,2.133333333,0.012253064,0.277002901,0.03137896,1.750932149,0.671782489,37.48516696,55.79955949,-1.564481441,-26.61790613,0.366,-1.564481441,0.36568275,-0.00031725,6.71782489,-0.021312307,-3.172501124,1.08,-26.61790613,1.081955148,0.001955148,374.8516696,7.328903138,19.55147524
1,BUW,top,fine,1,B7,19,4.54,,464,EliseLabRoots_19.raw,5.420564,-5.107071452,6.405882,-26.64598104,4.54,4.909792417,-1.926293093,3.543452667,-24.42037806,2.133333333,2.133333333,0.012253064,0.277002901,0.066418517,1.774447895,1.462962926,39.08475539,26.71616259,-1.200778358,-28.25560298,0.366,-1.200778358,0.365815471,-0.000184529,14.62962926,-0.026995918,-1.845290638,1.08,-28.25560298,1.080154441,0.000154441,390.8475539,0.603630362,1.544413815
1,BUW,top,coarse,1,B8,20,4.159,,465,EliseLabRoots_20.raw,5.7523495,-4.517742646,5.798605,-24.10691955,4.159,4.909792417,-1.926293093,3.543452667,-24.42037806,2.133333333,2.133333333,0.012253064,0.277002901,0.070483906,1.606230404,1.694732045,38.62059159,22.78861234,-0.611449553,-25.71654149,0.366,-0.611449553,0.366030526,3.05257E-05,16.94732045,0.00517328,0.305256545,1.08,-25.71654149,1.082946202,0.002946202,386.2059159,11.37840701,29.46202153
