,,,,,mid,,,,,,top,,,,,,bottom,,,,,
,,,,,fine,,,coarse,,,fine,,,coarse,,,fine,,,coarse,,
run,pipe_nr,pipe_diameter,tt,ID,bag,fresh,dry,bag,fresh,dry,bag,fresh,dry,bag,fresh,dry,bag,fresh,dry,bag,fresh,dry
4,38,16.3,H,SCD,4.81,5.12,4.88,4.76,5.73,4.94,5.23,6,5.35,5.17,6.89,5.64,5.26,5.48,5.27,5.29,5.51,5.3
5,45,16.3,A,SUW,5.11,5.79,5.28,5.08,5.63,5.28,4.81,6.11,5.24,4.92,7.6,5.88,5.05,5.25,5.06,5.12,5.18,5.12
5,48,16.3,B,SUD,5.13,5.62,5.22,5.14,5.75,5.29,4.84,5.62,5.04,4.9,6.38,5.44,5.02,5.23,5.03,5.02,5.47,5.08
5,46,16.3,C,SCW,5,5.54,5.2,5.07,5.94,5.31,4.83,5.23,4.86,4.82,6.94,5.56,5.04,5.29,5.1,5.09,5.22,5.11
5,41,16.3,D,BUD,5.09,5.48,5.14,5.08,5.88,5.3,4.85,4.92,4.86,4.87,5.05,4.89,5.08,5.23,5.09,0,0,0
5,44,16.3,E,BCD,5.07,5.18,5.07,0,0,0,4.88,5.04,4.89,4.8,4.89,4.8,6.41,6.44,6.41,0,0,0
5,43,16.3,F,BCW,5.13,5.29,5.17,5.15,5.23,5.18,4.89,4.9,4.89,4.83,4.96,4.84,5.06,5.23,5.12,5.13,5.34,5.13
5,47,16.3,G,SCD,5.09,5.74,5.25,5.07,6.27,5.51,5.13,5.9,5.29,5.07,6.76,5.67,5.09,5.35,5.15,5.07,5.26,5.1
5,42,16.3,H,BUW,5.05,5.45,5.17,5.07,5.52,5.17,4.93,4.99,4.94,4.92,5.35,5,5.17,5.33,5.18,5.14,5.26,5.15
6,53,17,A,SCD,5.1,6.5,5.55,5.09,5.95,5.39,5.09,6.98,5.7,5.11,5.44,5.23,4.97,5.27,5.11,5.06,5.42,5.25
6,49,17,B,BUD,5.11,5.48,5.21,5.1,5.83,5.3,5.09,5.41,5.19,5.03,5.63,5.19,5.1,5.37,5.16,5.15,5.51,5.28
6,55,17,C,SUD,5.08,5.96,5.3,5.12,6.66,5.59,5.11,5.45,5.26,5.1,6.02,5.46,5.03,5.57,5.22,5.1,5.24,5.15
6,54,17,D,SCW,5.15,5.78,5.35,5.09,5.94,5.33,5.11,5.91,5.4,5.14,5.84,5.39,5.1,5.57,5.21,5.07,5.68,5.25
6,50,17,E,BCW,5.07,5.45,5.14,5.07,5.6,5.21,5.09,5.17,5.15,5.14,5.28,5.2,5.15,5.38,5.22,5.13,5.37,5.21
6,51,17,F,BUW,5.12,5.52,5.22,5.09,5.31,5.14,5.04,5.13,5.07,5,5.14,5.03,5.1,5.25,5.18,5.04,5.14,5.12
6,56,17,G,SUW,5.13,5.78,5.31,5.1,6.29,5.44,5.04,5.67,5.28,4.99,7.37,5.81,5.1,5.42,5.2,5.12,5.35,5.19
6,52,17,H,BCD,5.15,5.51,5.27,0,0,0,4.99,5.1,5.04,5.01,5.07,5.04,5.08,5.28,5.15,0,0,0
