run,pipe_nr,pipe_diameter,tt,treatment,mid_fine,mid_coarse,top_fine,top_coarse,bottom_fine,bottom_coarse,veg,wet,cut,beriget
1,9,17,B,BUW,0.04999999999999982,0.1299999999999999,0.010000000000000675,0.019999999999999574,0,0.09999999999999964,B,W,U,FALSE
1,10,17,C,BCW,0.040000000000000036,0.20000000000000018,-0.009999999999999787,0.13999999999999968,0.03000000000000025,0.1200000000000001,B,W,C,FALSE
1,11,17,H,BUD,0.1299999999999999,0.21999999999999975,0,0.019999999999999574,0.09999999999999964,0,B,D,U,FALSE
1,12,17,D,BCD,0.020000000000000462,0.29000000000000004,0.020000000000000462,0,0.009999999999999787,0.0699999999999994,B,D,C,FALSE
1,13,17,E,SUW,0.08999999999999986,0.20000000000000018,0.08999999999999986,0.47999999999999954,0.05000000000000071,0.05999999999999961,S,W,U,FALSE
1,14,17,A,SCW,0.08999999999999986,0.3099999999999996,0.20000000000000018,0.7999999999999998,0.04999999999999982,0.009999999999999787,S,W,C,FALSE
1,15,17,G,SUD,0.1299999999999999,0.08000000000000007,0.34999999999999964,0.9299999999999997,0.009999999999999787,0,S,D,U,FALSE
1,16,17,F,SCD,0.17999999999999972,0.22000000000000064,0.11000000000000032,0.6699999999999999,0.03000000000000025,0,S,D,C,FALSE
2,17,17,C,BCW,0.0699999999999994,0.16999999999999993,0.10000000000000053,0.14000000000000057,0.009999999999999787,0.020000000000000462,B,W,C,TRUE
2,18,17,G,BUW,0.03000000000000025,0.17000000000000082,0.02999999999999936,0.03000000000000025,0.02999999999999936,0.020000000000000462,B,W,U,TRUE
2,19,17,B,BCD,0.05999999999999961,0.04999999999999982,0.02999999999999936,0,0.10000000000000053,0.009999999999999787,B,D,C,TRUE
2,20,17,A,BUD,0.14999999999999947,0.28000000000000025,0.04999999999999982,0.1299999999999999,0.040000000000000036,0.17000000000000082,B,D,U,TRUE
2,21,17,E,SCW,0.16000000000000014,0.2599999999999998,0.3099999999999996,0.96,0.040000000000000036,0,S,W,C,TRUE
2,22,17,D,SCD,0.1299999999999999,0.33999999999999986,0.08999999999999986,0.8999999999999995,0.08000000000000007,0.09000000000000075,S,D,C,TRUE
2,23,17,H,SUW,0.16000000000000014,0.5099999999999998,0.14999999999999947,0.7400000000000002,0.010000000000000675,0.019999999999999574,S,W,U,TRUE
2,24,17,F,SUD,0.08999999999999986,0.09999999999999964,0.07000000000000028,0.27999999999999936,0.02999999999999936,0.009999999999999787,S,D,U,TRUE
3,25,17,A,BCD,0.02999999999999936,0.20999999999999996,0.040000000000000036,0.0600000000000005,0,0.02999999999999936,B,D,C,TRUE
3,27,17,B,BCW,0.03000000000000025,0.10999999999999943,0.010000000000000675,0.07000000000000028,0.03000000000000025,0.07000000000000028,B,W,C,TRUE
3,26,17,C,BUD,0.009999999999999787,0.1299999999999999,0.020000000000000462,0.009999999999999787,0.040000000000000036,0.11000000000000032,B,D,U,TRUE
3,29,17,D,SUW,0.04999999999999982,0.14000000000000057,0.20000000000000018,0.5,0.009999999999999787,0.019999999999999574,S,W,U,TRUE
3,32,17,E,SCD,0.07000000000000028,0.16000000000000014,0.08999999999999986,0.46999999999999975,0.08000000000000007,0.03999999999999915,S,D,C,TRUE
3,30,17,F,SUD,0.1200000000000001,0.040000000000000036,0.0699999999999994,0.5599999999999996,0,0.09999999999999964,S,D,U,TRUE
3,28,17,G,BUW,0.040000000000000036,0.09999999999999964,0.040000000000000036,0.13999999999999968,-0.009999999999999787,0.07000000000000028,B,W,U,TRUE
3,31,17,H,SCW,0.020000000000000462,0.07000000000000028,0.03000000000000025,0.41000000000000014,-0.009999999999999787,0.3600000000000003,S,W,C,TRUE
4,35,16.3,A,BCW,0.03000000000000025,0.09999999999999964,0.009999999999999787,0.11000000000000032,0,0.009999999999999787,B,W,C,TRUE
4,40,16.3,B,SCW,0.019999999999999574,0.10999999999999943,0.010000000000000675,0.1899999999999995,0.019999999999999574,0.1299999999999999,S,W,C,TRUE
4,36,16.3,C,BCD,0.040000000000000036,0.14000000000000057,0.03000000000000025,0.040000000000000036,0.009999999999999787,0.009999999999999787,B,D,C,TRUE
4,39,16.3,D,SUD,0.040000000000000036,0.05999999999999961,0.03000000000000025,0.6099999999999994,0,0,S,D,U,TRUE
4,33,16.3,E,BUW,0.04999999999999982,0.1299999999999999,0.010000000000000675,0.019999999999999574,0.009999999999999787,-0.04999999999999982,B,W,U,TRUE
4,37,16.3,F,SUW,0.14000000000000057,0.71,0.13999999999999968,0.6500000000000004,0.15000000000000036,0.02999999999999936,S,W,U,TRUE
4,34,16.3,G,BUD,0.010000000000000675,0.040000000000000036,0.010000000000000675,0.17999999999999972,0.009999999999999787,0.010000000000000675,B,D,U,TRUE
4,38,16.3,H,SCD,0.07000000000000028,0.1800000000000006,0.11999999999999922,0.46999999999999975,0.009999999999999787,0.009999999999999787,S,D,C,TRUE
5,45,16.3,A,SUW,0.16999999999999993,0.20000000000000018,0.4300000000000006,0.96,0.009999999999999787,0,S,W,U,TRUE
5,48,16.3,B,SUD,0.08999999999999986,0.15000000000000036,0.20000000000000018,0.54,0.010000000000000675,0.0600000000000005,S,D,U,TRUE
5,46,16.3,C,SCW,0.20000000000000018,0.23999999999999932,0.03000000000000025,0.7399999999999993,0.05999999999999961,0.020000000000000462,S,W,C,TRUE
5,41,16.3,D,BUD,0.04999999999999982,0.21999999999999975,0.010000000000000675,0.019999999999999574,0.009999999999999787,0,B,D,U,TRUE
5,44,16.3,E,BCD,0,0,0.009999999999999787,0,0,0,B,D,C,TRUE
5,43,16.3,F,BCW,0.040000000000000036,0.02999999999999936,0,0.009999999999999787,0.0600000000000005,0,B,W,C,TRUE
5,47,16.3,G,SCD,0.16000000000000014,0.4399999999999995,0.16000000000000014,0.5999999999999996,0.0600000000000005,0.02999999999999936,S,D,C,TRUE
5,42,16.3,H,BUW,0.1200000000000001,0.09999999999999964,0.010000000000000675,0.08000000000000007,0.009999999999999787,0.010000000000000675,B,W,U,TRUE
6,53,17,A,SCD,0.4500000000000002,0.2999999999999998,0.6100000000000003,0.1200000000000001,0.14000000000000057,0.1900000000000004,S,D,C,TRUE
6,49,17,B,BUD,0.09999999999999964,0.20000000000000018,0.10000000000000053,0.16000000000000014,0.0600000000000005,0.1299999999999999,B,D,U,TRUE
6,55,17,C,SUD,0.21999999999999975,0.46999999999999975,0.14999999999999947,0.3600000000000003,0.1899999999999995,0.05000000000000071,S,D,U,TRUE
6,54,17,D,SCW,0.1999999999999993,0.2400000000000002,0.29000000000000004,0.25,0.11000000000000032,0.17999999999999972,S,W,C,TRUE
6,50,17,E,BCW,0.0699999999999994,0.13999999999999968,0.0600000000000005,0.0600000000000005,0.0699999999999994,0.08000000000000007,B,W,C,TRUE
6,51,17,F,BUW,0.09999999999999964,0.04999999999999982,0.03000000000000025,0.03000000000000025,0.08000000000000007,0.08000000000000007,B,W,U,TRUE
6,56,17,G,SUW,0.17999999999999972,0.34000000000000075,0.2400000000000002,0.8199999999999994,0.10000000000000053,0.07000000000000028,S,W,U,TRUE
6,52,17,H,BCD,0.11999999999999922,0,0.04999999999999982,0.03000000000000025,0.07000000000000028,0,B,D,C,TRUE
