run,tt,treatment,aboveground,sample_weight,comment,n15_raw,c13_raw,mg_n_in_sample,mg_c_in_sample,n_pct,c_pct,cn_ratio,d15nkorr,d13ckorr,natabun_15n_atm_pct,atom_pct_15n,ape_pct_15n,n_mg_pr_gdw,n15_ug_pr_gdw,n15_ug_pr_gn,natabun_13c_atm_pct,atom_pct_13c,ape_pct_13c,c_mg_pr_gdw,c13_ug_pr_gdw,c13_ug_pr_gc,pipe_nr,pipe_diameter,veg,wet,cut,beriget
1,H,BUD,bryophyte,4.069,,-0.092465,-28.83916865,0.05152023,1.392731283,1.266164414,34.22785164,27.03270702,-0.029110832,-28.93896457,0.366,0.366243029,2.43029e-4,12.66164414,0.030771426,2.430286769,1.077,1.079403042,0.002403042,342.2785164,8.225094908,24.03041533,11,17,B,D,U,FALSE
1,A,SCW,lichen,3.59,,-1.2505555799999999,-23.10734094,0.140825094,1.343716693,3.922704565,37.42943433,9.541741856,-1.187201412,-23.20713685,0.366,0.365820425,-1.79575e-4,39.22704565,-0.070441821,-1.795746267,1.077,1.0857052,0.0087052,374.2943433,32.58306993,87.05199668,14,17,S,W,C,FALSE
1,E,SUW,lichen,3.286,,-0.184645377,-24.77616782,0.126632871,1.297926664,3.853708799,39.49868118,10.24952409,-0.12129121,-24.87596374,0.366,0.366209391,2.09391e-4,38.53708799,0.08069316,2.093909108,1.077,1.083870403,0.006870403,394.9868118,27.13718744,68.70403424,13,17,S,W,U,FALSE
1,F,SCD,lichen,3.751,,-0.618478466,-24.03524377,0.125090981,1.466309197,3.334870206,39.09115429,11.72194175,-0.555124298,-24.13503969,0.366,0.36605108,5.11e-5,33.34870206,0.017034356,0.51079517,1.077,1.084685023,0.007685023,390.9115429,30.04164112,76.85022781,16,17,S,D,C,FALSE
1,G,SUD,lichen,3.592,,-0.738103543,-27.02784012,0.108538946,1.393060769,3.021685577,38.7823154,12.83466278,-0.674749376,-27.12763604,0.366,0.366007427,7.43e-6,30.21685577,0.002244105,0.07426666,1.077,1.081394688,0.004394688,387.823154,17.04361886,43.94688323,15,17,S,D,U,FALSE
1,A,SCW,graminoid,3.382,,0.462631669,-28.17601201,0.043374819,1.303885804,1.282519782,38.55369024,30.06089323,0.525985836,-28.27580793,0.366,0.36644559,4.4559e-4,12.82519782,0.057147783,4.455898737,1.077,1.080132225,0.003132225,385.5369024,12.07588289,31.32224908,14,17,S,W,C,FALSE
1,B,BUW,graminoid,3.353,,-0.19944404,-28.41533953,0.044728882,1.2989953,1.333995874,38.74128541,29.04153316,-0.136089872,-28.51513545,0.366,0.366203991,2.03991e-4,13.33995874,0.027212274,2.039906927,1.077,1.07986907,0.00286907,387.4128541,11.11514655,28.69070149,9,17,B,W,U,FALSE
1,C,BCW,graminoid,3.778,,0.215342746,-29.05042224,0.063997462,1.41193486,1.693950822,37.37254791,22.06235709,0.278696913,-29.15021816,0.366,0.366355351,3.55351e-4,16.93950822,0.060194777,3.553513863,1.077,1.079170752,0.002170752,373.7254791,8.112654685,21.70752367,10,17,B,W,C,FALSE
1,D,BCD,graminoid,3.191,,1.145318779,-27.85409985,0.050903846,1.18707148,1.595231788,37.20061046,23.31987786,1.208672947,-27.95389577,0.366,0.366694709,6.94709e-4,15.95231788,0.110822215,6.947091697,1.077,1.080486184,0.003486184,372.0061046,12.96881788,34.86184157,12,17,B,D,C,FALSE
1,E,SUW,graminoid,3.483,,0.318741349,-29.17350801,0.039553081,1.304740351,1.135603817,37.46024551,32.98707256,0.382095517,-29.27330393,0.366,0.366393083,3.93083e-4,11.35603817,0.044638623,3.930827104,1.077,1.07903541,0.00203541,374.6024551,7.624695171,20.35409824,13,17,S,W,U,FALSE
1,F,SCD,graminoid,3.249,,-0.463826429,-28.5711967,0.03212302,1.213644569,0.988704842,37.35440347,37.7811475,-0.400472262,-28.67099262,0.366,0.366107514,1.07514e-4,9.887048421,0.010629975,1.075141347,1.077,1.079697695,0.002697695,373.5440347,10.07707956,26.97695217,16,17,S,D,C,FALSE
1,G,SUD,graminoid,4.123,,-1.274186426,-29.53118409,0.04284783,1.506527618,1.039239154,36.53959782,35.1599511,-1.210832259,-29.63098,0.366,0.365811802,-1.88198e-4,10.39239154,-0.019558261,-1.881978875,1.077,1.078642115,0.001642115,365.3959782,6.000220668,16.4211459,15,17,S,D,U,FALSE
1,H,BUD,graminoid,3.405,,-0.20816093,-29.0411526,0.050637947,1.277720292,1.487164364,37.52482501,25.23246652,-0.144806763,-29.14094852,0.366,0.36620081,2.0081e-4,14.87164364,0.029863716,2.008097895,1.077,1.079180945,0.002180945,375.2482501,8.183958154,21.80945054,11,17,B,D,U,FALSE
1,A,SCW,salix_stem,3.78,,-4.728081934,-30.24162873,0.053204871,1.634803091,1.407536276,43.24875902,30.72656794,-4.664727767,-30.34142465,0.366,0.364551406,-0.001448594,14.07536276,-0.203894823,-14.48593737,1.077,1.077860911,8.60911e-4,432.4875902,3.723333527,8.60911067,14,17,S,W,C,FALSE
1,B,BUW,salix_stem,3.359,,-1.993266451,-29.73416306,0.06407798,1.469333451,1.907650501,43.74318102,22.93039579,-1.929912283,-29.83395898,0.366,0.365549398,-4.50602e-4,19.07650501,-0.085959114,-4.506020042,1.077,1.078418921,0.001418921,437.4318102,6.206809943,14.18920572,9,17,B,W,U,FALSE
1,C,BCW,salix_stem,3.999,,-3.801725551,-30.28935371,0.070917559,1.681272971,1.773382315,42.04233487,23.70742875,-3.738371384,-30.38914963,0.366,0.364889455,-0.0011105450000000001,17.73382315,-0.196942007,-11.10544556,1.077,1.077808432,8.08432e-4,420.4233487,3.398838273,8.084323298,10,17,B,W,C,FALSE
1,D,BCD,salix_stem,1.572,det var alt der var,-4.391762585,-29.86121673,0.022675287,0.762157349,1.442448303,48.48329194,33.61180559,-4.328408417,-29.96101265,0.366,0.364674137,-0.001325863,14.42448303,-0.191248833,-13.25862649,1.077,1.078279213,0.001279213,484.8329194,6.202045154,12.79212881,12,17,B,D,C,FALSE
1,E,SUW,salix_stem,3.408,,-3.412708649,-30.71634737,0.054137783,1.49781455,1.588549978,43.94995746,27.66671371,-3.349354481,-30.81614328,0.366,0.365031416,-9.68584e-4,15.88549978,-0.153864384,-9.685838434,1.077,1.077338905,3.38905e-4,439.4995746,1.489483921,3.389045194,13,17,S,W,U,FALSE
1,F,SCD,salix_stem,3.651,,-6.315824923,-30.38175588,0.041880135,1.591439731,1.14708668,43.58914628,37.99987136,-6.252470756,-30.48155179,0.366,0.363971996,-0.002028004,11.4708668,-0.232629608,-20.28003746,1.077,1.077706826,7.06826e-4,435.8914628,3.080994537,7.068260795,16,17,S,D,C,FALSE
1,G,SUD,salix_stem,3.884,,-5.045574866,-31.19723302,0.045685892,1.659851525,1.176258808,42.73562114,36.33181819,-4.982220698,-31.29702894,0.366,0.364435545,-0.001564455,11.76258808,-0.184020384,-15.64454885,1.077,1.076810111,-1.89889e-4,427.3562114,-0.811502354,-1.898889807,15,17,S,D,U,FALSE
1,A,SCW,salix_leaf,3.139,,-4.711639375,-30.64526482,0.040820225,1.365577314,1.300421303,43.50357801,33.45344921,-4.648285207,-30.74506074,0.366,0.364557407,-0.001442593,13.00421303,-0.187597924,-14.42593441,1.077,1.077417068,4.17068e-4,435.0357801,1.814395565,4.170681236,14,17,S,W,C,FALSE
1,B,BUW,salix_leaf,3.431,,-1.139276445,-30.47873132,0.073392106,1.464254888,2.139087894,42.67720454,19.95112246,-1.075922277,-30.57852723,0.366,0.365861033,-1.38967e-4,21.39087894,-0.0297263,-1.389671724,1.077,1.077600191,6.00191e-4,426.7720454,2.561446499,6.001907872,9,17,B,W,U,FALSE
1,C,BCW,salix_leaf,3.916,,-3.285431407,-30.70591913,0.078666303,1.634600416,2.008843272,41.74158366,20.77891503,-3.222077239,-30.80571504,0.366,0.365077862,-9.22138e-4,20.08843272,-0.185243012,-9.221377028,1.077,1.077350372,3.50372e-4,417.4158366,1.462506552,3.503716017,10,17,B,W,C,FALSE
1,E,SUW,salix_leaf,3.307,,-3.848326327,-30.510916,0.048607834,1.451391023,1.469846824,43.88844945,29.85919942,-3.784972159,-30.61071192,0.366,0.36487245,-0.00112755,14.69846824,-0.165732611,-11.27550217,1.077,1.0775648,5.648e-4,438.8844945,2.478820021,5.648000903,13,17,S,W,U,FALSE
1,F,SCD,salix_leaf,3.49,,-5.922414385,-30.38474184,0.043315397,1.499018767,1.241128851,42.95182714,34.60706524,-5.859060218,-30.48453775,0.366,0.364115563,-0.001884437,12.41128851,-0.23388292,-18.84437059,1.077,1.077703543,7.03543e-4,429.5182714,3.021844376,7.035426843,16,17,S,D,C,FALSE
