run;date;hrs_after_incubation;pipe_nr;treatment;tinytag;minute;ppm
5;20.11.2025;1;45;SUW;A;ppm _room;589
5;20.11.2025;1;45;SUW;A;ppm_0;598
5;20.11.2025;1;45;SUW;A;ppm_1;601
5;20.11.2025;1;45;SUW;A;ppm_2;605
5;20.11.2025;1;45;SUW;A;ppm_3;611
5;20.11.2025;1;45;SUW;A;ppm_4;616
5;20.11.2025;1;45;SUW;A;ppm_5;621
5;20.11.2025;1;45;SUW;A;ppm_6;627
5;20.11.2025;1;48;SUD;B;ppm _room;658
5;20.11.2025;1;48;SUD;B;ppm_0;660
5;20.11.2025;1;48;SUD;B;ppm_1;661
5;20.11.2025;1;48;SUD;B;ppm_2;664
5;20.11.2025;1;48;SUD;B;ppm_3;667
5;20.11.2025;1;48;SUD;B;ppm_4;670
5;20.11.2025;1;48;SUD;B;ppm_5;674
5;20.11.2025;1;48;SUD;B;ppm_6;677
5;20.11.2025;1;46;SCW;C;ppm _room;670
5;20.11.2025;1;46;SCW;C;ppm_0;675
5;20.11.2025;1;46;SCW;C;ppm_1;680
5;20.11.2025;1;46;SCW;C;ppm_2;686
5;20.11.2025;1;46;SCW;C;ppm_3;692
5;20.11.2025;1;46;SCW;C;ppm_4;697
5;20.11.2025;1;46;SCW;C;ppm_5;703
5;20.11.2025;1;46;SCW;C;ppm_6;708
5;20.11.2025;1;41;BUD;D;ppm _room;684
5;20.11.2025;1;41;BUD;D;ppm_0;688
5;20.11.2025;1;41;BUD;D;ppm_1;689
5;20.11.2025;1;41;BUD;D;ppm_2;690
5;20.11.2025;1;41;BUD;D;ppm_3;691
5;20.11.2025;1;41;BUD;D;ppm_4;692
5;20.11.2025;1;41;BUD;D;ppm_5;693
5;20.11.2025;1;41;BUD;D;ppm_6;694
5;20.11.2025;1;44;BCD;E;ppm _room;664
5;20.11.2025;1;44;BCD;E;ppm_0;664
5;20.11.2025;1;44;BCD;E;ppm_1;666
5;20.11.2025;1;44;BCD;E;ppm_2;668
5;20.11.2025;1;44;BCD;E;ppm_3;669
5;20.11.2025;1;44;BCD;E;ppm_4;670
5;20.11.2025;1;44;BCD;E;ppm_5;671
5;20.11.2025;1;44;BCD;E;ppm_6;672
5;20.11.2025;1;43;BCW;F;ppm _room;650
5;20.11.2025;1;43;BCW;F;ppm_0;651
5;20.11.2025;1;43;BCW;F;ppm_1;656
5;20.11.2025;1;43;BCW;F;ppm_2;659
5;20.11.2025;1;43;BCW;F;ppm_3;662
5;20.11.2025;1;43;BCW;F;ppm_4;664
5;20.11.2025;1;43;BCW;F;ppm_5;667
5;20.11.2025;1;43;BCW;F;ppm_6;670
5;20.11.2025;1;47;SCD;G;ppm _room;641
5;20.11.2025;1;47;SCD;G;ppm_0;646
5;20.11.2025;1;47;SCD;G;ppm_1;654
5;20.11.2025;1;47;SCD;G;ppm_2;660
5;20.11.2025;1;47;SCD;G;ppm_3;666
5;20.11.2025;1;47;SCD;G;ppm_4;671
5;20.11.2025;1;47;SCD;G;ppm_5;676
5;20.11.2025;1;47;SCD;G;ppm_6;680
5;20.11.2025;1;42;BUW;H;ppm _room;653
5;20.11.2025;1;42;BUW;H;ppm_0;653
5;20.11.2025;1;42;BUW;H;ppm_1;659
5;20.11.2025;1;42;BUW;H;ppm_2;664
5;20.11.2025;1;42;BUW;H;ppm_3;668
5;20.11.2025;1;42;BUW;H;ppm_4;672
5;20.11.2025;1;42;BUW;H;ppm_5;676
5;20.11.2025;1;42;BUW;H;ppm_6;680
5;20.11.2025;2;45;SUW;A;ppm _room;669
5;20.11.2025;2;45;SUW;A;ppm_0;645
5;20.11.2025;2;45;SUW;A;ppm_1;653
5;20.11.2025;2;45;SUW;A;ppm_2;663
5;20.11.2025;2;45;SUW;A;ppm_3;672
5;20.11.2025;2;45;SUW;A;ppm_4;681
5;20.11.2025;2;45;SUW;A;ppm_5;690
5;20.11.2025;2;45;SUW;A;ppm_6;698
5;20.11.2025;2;48;SUD;B;ppm _room;682
5;20.11.2025;2;48;SUD;B;ppm_0;683
5;20.11.2025;2;48;SUD;B;ppm_1;692
5;20.11.2025;2;48;SUD;B;ppm_2;698
