run;date;hrs_after_incubation;pipe_nr;treatment;tinytag;minute;ppm;
1;13.10.2025;2;13;SUW;E;ppm_1;702;
1;13.10.2025;2;13;SUW;E;ppm_2;720;
1;13.10.2025;2;13;SUW;E;ppm_3;737;
1;13.10.2025;2;13;SUW;E;ppm_4;752;
1;13.10.2025;2;13;SUW;E;ppm_5;767;
1;13.10.2025;2;13;SUW;E;ppm_6;782;
1;13.10.2025;2;16;SCD;F;ppm _room;684;
1;13.10.2025;2;16;SCD;F;ppm_0;686;
1;13.10.2025;2;16;SCD;F;ppm_1;693;
1;13.10.2025;2;16;SCD;F;ppm_2;708;
1;13.10.2025;2;16;SCD;F;ppm_3;720;
1;13.10.2025;2;16;SCD;F;ppm_4;732;
1;13.10.2025;2;16;SCD;F;ppm_5;743;
1;13.10.2025;2;16;SCD;F;ppm_6;752;
1;13.10.2025;2;15;SUD;G;ppm _room;684;
1;13.10.2025;2;15;SUD;G;ppm_0;687;
1;13.10.2025;2;15;SUD;G;ppm_1;703;
1;13.10.2025;2;15;SUD;G;ppm_2;717;
1;13.10.2025;2;15;SUD;G;ppm_3;727;
1;13.10.2025;2;15;SUD;G;ppm_4;738;
1;13.10.2025;2;15;SUD;G;ppm_5;749;
1;13.10.2025;2;15;SUD;G;ppm_6;760;
1;13.10.2025;2;11;BUD;H;ppm _room;715;
1;13.10.2025;2;11;BUD;H;ppm_0;718;
1;13.10.2025;2;11;BUD;H;ppm_1;724;
1;13.10.2025;2;11;BUD;H;ppm_2;728;
1;13.10.2025;2;11;BUD;H;ppm_3;734;
1;13.10.2025;2;11;BUD;H;ppm_4;739;
1;13.10.2025;2;11;BUD;H;ppm_5;744;
1;13.10.2025;2;11;BUD;H;ppm_6;750;
1;13.10.2025;6;14;SCW;A;ppm _room;770;
1;13.10.2025;6;14;SCW;A;ppm_0;775;
1;13.10.2025;6;14;SCW;A;ppm_1;783;
1;13.10.2025;6;14;SCW;A;ppm_2;792;
1;13.10.2025;6;14;SCW;A;ppm_3;798;
1;13.10.2025;6;14;SCW;A;ppm_4;805;
1;13.10.2025;6;14;SCW;A;ppm_5;812;
1;13.10.2025;6;14;SCW;A;ppm_6;821;
1;13.10.2025;6;9;BUW;B;ppm _room;797;
1;13.10.2025;6;9;BUW;B;ppm_0;797;
