run,treatment,layer,diameter,tray,position,nr,4-5mg,comment,%N,%C,C/N,d15Nkorr,d13Ckorr,Nat abun (15N),δ15Nkorr,atom% (15N),APE%,N pr DW,15N pr DW,15N pr N ,Nat abun (13C),δ13Ckorr,atom% (13C),APE%,C pr DW,13C pr DW  ,13C pr C 
,,,,,,,,,,,,,,(ATM%),(δ),(% of N),(% excess),(mgN/g DW),(μg/g DW),(μg/g N),(ATM%),(δ),(% of C),(% excess),(mg/g DW),(μg/g DW),(μg/g C)
6,BUD,top,fine,3,E4,253,4.147,,0.882,41.54,47.12,2536.37,-17.77,0.366,2536.37,1.283,0.917,8.8,80.9,9172.9,1.08,-17.77,1.092,0.012,415,48.53,116.84
6,BUD,top,coarse,3,E5,254,4.162,,1.079,41.06,38.07,401.16,-24.32,0.366,401.16,0.512,0.146,10.8,15.8,1464.3,1.08,-24.32,1.084,0.004,411,18.39,44.80
6,BUD,middle,fine,3,E6,255,4.013,,0.934,39.02,41.79,494.00,-24.60,0.366,494.00,0.546,0.180,9.3,16.8,1802.0,1.08,-24.60,1.084,0.004,390,16.27,41.70
6,BUD,middle,coarse,3,E7,256,4.341,,1.026,39.41,38.43,49.01,-26.26,0.366,49.01,0.384,0.018,10.3,1.9,181.3,1.08,-26.26,1.082,0.002,394,9.25,23.47
6,BUD,bottom,fine,3,E8,257,4.269,,1.029,39.04,37.95,1.61,-27.07,0.366,1.61,0.367,0.001,10.3,0.1,8.4,1.08,-27.07,1.081,0.001,390,5.70,14.60
6,BUD,bottom,coarse,3,E9,258,4.742,,0.901,41.15,45.67,0.73,-26.54,0.366,0.73,0.367,0.001,9.0,0.0,5.2,1.08,-26.54,1.082,0.002,412,8.42,20.45
6,BUW,top,fine,3,E10,259,1.554,ikke flere rødder,0.891,38.36,43.04,1574.46,-15.53,0.366,1574.46,0.937,0.571,8.9,50.9,5715.0,1.08,-15.53,1.094,0.014,384,54.27,141.48
6,BUW,top,coarse,3,E11,260,4.806,,1.962,41.92,21.36,148.43,-25.23,0.366,148.43,0.420,0.054,19.6,10.7,543.9,1.08,-25.23,1.083,0.003,419,14.58,34.77
6,BUW,middle,fine,3,E12,261,4.179,,1.611,40.87,25.36,568.96,-23.17,0.366,568.96,0.573,0.207,16.1,33.4,2074.4,1.08,-23.17,1.086,0.006,409,23.50,57.48
,,,,,,,,PEACH,2.235,39.13,17.50,3.04,-26.21,0.366,3.04,0.367,0.001,22.4,0.3,13.6,1.08,-26.21,1.082,0.002,391,9.39,23.99
6,BUW,middle,coarse,3,F1,262,4.225,,1.797,44.78,24.93,597.03,-20.58,0.366,597.03,0.584,0.218,18.0,39.1,2176.4,1.08,-20.58,1.089,0.009,448,38.46,85.89
6,BUW,bottom,fine,3,F2,263,4.196,,1.017,41.18,40.49,6.73,-28.36,0.366,6.73,0.369,0.003,10.2,0.3,27.1,1.08,-28.36,1.080,0.000,412,0.15,0.37
6,BUW,bottom,coarse,3,F3,264,3.8,ikke flere rødder,1.191,46.64,39.16,-4.97,-27.47,0.366,-4.97,0.364,-0.002,11.9,-0.2,-15.6,1.08,-27.47,1.081,0.001,466,4.76,10.20
6,SCD,top,fine,3,F4,265,4.945,,1.416,44.62,31.50,196.30,-27.56,0.366,196.30,0.438,0.072,14.2,10.2,718.3,1.08,-27.56,1.081,0.001,446,4.08,9.14
6,SCD,top,coarse,3,F5,266,4.1,,1.000,46.56,46.58,33.06,-29.59,0.366,33.06,0.378,0.012,10.0,1.2,123.2,1.08,-29.59,1.079,-0.001,466,-6.11,-13.13
6,SCD,middle,fine,3,F6,267,4.259,,1.402,42.49,30.31,518.54,-22.93,0.366,518.54,0.555,0.189,14.0,26.5,1891.2,1.08,-22.93,1.086,0.006,425,25.54,60.10
6,SCD,middle,coarse,3,F7,268,4.28,,0.990,45.33,45.77,387.70,-26.40,0.366,387.70,0.508,0.142,9.9,14.0,1415.3,1.08,-26.40,1.082,0.002,453,9.95,21.95
6,SCD,bottom,fine,3,F8,269,4.346,,1.292,41.37,32.02,0.95,-27.88,0.366,0.95,0.367,0.001,12.9,0.1,6.0,1.08,-27.88,1.081,0.001,414,2.33,5.62
6,SCD,bottom,coarse,3,F9,270,4.74,,0.895,40.53,45.28,1.61,-26.66,0.366,1.61,0.367,0.001,9.0,0.1,8.4,1.08,-26.66,1.082,0.002,405,7.73,19.07
6,SCW,top,fine,3,F10,271,4.152,,1.222,45.92,37.57,306.06,-27.52,0.366,306.06,0.478,0.112,12.2,13.7,1118.1,1.08,-27.52,1.081,0.001,459,4.44,9.68
6,SCW,top,coarse,3,F11,272,4.531,,0.971,46.11,47.47,171.74,-29.12,0.366,171.74,0.429,0.063,9.7,6.1,628.8,1.08,-29.12,1.079,-0.001,461,-3.66,-7.93
6,SCW,middle,fine,3,F12,273,4.136,,1.326,44.99,33.92,582.52,-24.12,0.366,582.52,0.578,0.212,13.3,28.2,2123.7,1.08,-24.12,1.085,0.005,450,21.14,46.99
,,,,,,,,PEACH,2.844,50.95,17.91,2.16,-26.22,0.366,2.16,0.367,0.001,28.4,0.3,10.4,1.08,-26.22,1.082,0.002,510,12.18,23.91
6,SCW,middle,coarse,3,G1,274,4.25,,1.292,44.21,34.22,135.75,-26.90,0.366,135.75,0.416,0.050,12.9,6.4,497.6,1.08,-26.90,1.082,0.002,442,7.29,16.48
6,SCW,bottom,fine,3,G2,275,4.338,,1.105,40.56,36.72,4.80,-28.64,0.366,4.80,0.368,0.002,11.0,0.2,20.0,1.08,-28.64,1.080,0.000,406,-1.10,-2.72
6,SCW,bottom,coarse,3,G3,276,4.655,,0.994,40.69,40.94,2.41,-27.01,0.366,2.41,0.367,0.001,9.9,0.1,11.3,1.08,-27.01,1.082,0.002,407,6.19,15.21
6,SUD,top,fine,3,G4,277,4.575,,1.156,43.82,37.90,304.11,-27.04,0.366,304.11,0.477,0.111,11.6,12.8,1111.0,1.08,-27.04,1.081,0.001,438,6.53,14.90
6,SUD,top,coarse,3,G5,278,4.103,,1.056,46.05,43.62,324.73,-27.40,0.366,324.73,0.485,0.119,10.6,12.5,1186.1,1.08,-27.40,1.081,0.001,461,5.02,10.90
6,SUD,middle,fine,3,G6,279,4.424,,1.274,41.29,32.40,234.33,-27.02,0.366,234.33,0.452,0.086,12.7,10.9,856.9,1.08,-27.02,1.082,0.002,413,6.25,15.14
6,SUD,middle,coarse,3,G7,280,4.074,,0.957,45.20,47.22,319.25,-27.74,0.366,319.25,0.483,0.117,9.6,11.2,1166.2,1.08,-27.74,1.081,0.001,452,3.27,7.22
6,SUD,bottom,fine,3,G8,281,4.532,,1.071,40.22,37.54,-0.62,-28.60,0.366,-0.62,0.366,0.000,10.7,0.0,0.3,1.08,-28.60,1.080,0.000,402,-0.91,-2.27
6,SUD,bottom,coarse,3,G9,282,4.671,,0.747,39.93,53.45,1.82,-26.31,0.366,1.82,0.367,0.001,7.5,0.1,9.2,1.08,-26.31,1.082,0.002,399,9.17,22.98
6,SUW,top,fine,3,G10,283,4.915,,1.340,44.12,32.91,123.43,-26.83,0.366,123.43,0.411,0.045,13.4,6.1,452.7,1.08,-26.83,1.082,0.002,441,7.58,17.19
6,SUW,top,coarse,3,G11,284,4.286,,1.077,45.59,42.34,37.07,-28.51,0.366,37.07,0.380,0.014,10.8,1.5,137.8,1.08,-28.51,1.080,0.000,456,-0.57,-1.25
6,SUW,middle,fine,3,G12,285,4.502,,1.492,44.33,29.71,562.91,-22.17,0.366,562.91,0.571,0.205,14.9,30.6,2052.4,1.08,-22.17,1.087,0.007,443,30.34,68.45
6,SUW,middle,coarse,3,H1,286,4.061,,1.165,45.67,39.20,218.93,-26.03,0.366,218.93,0.446,0.080,11.6,9.3,800.8,1.08,-26.03,1.083,0.003,457,11.89,26.05
6,SUW,bottom,fine,3,H2,287,4.519,,1.295,41.95,32.40,-1.18,-28.07,0.366,-1.18,0.366,0.000,12.9,0.0,-1.8,1.08,-28.07,1.080,0.000,419,1.51,3.59
6,SUW,bottom,coarse,3,H3,288,4.593,,0.860,41.01,47.70,-2.37,-27.16,0.366,-2.37,0.365,-0.001,8.6,-0.1,-6.1,1.08,-27.16,1.081,0.001,410,5.55,13.54
,,,,,,,,,,,,,,,,,,,,,,,,,,,
