run,treatment,layer,diameter,tray,position,nr,4-5mg,comment,,,,,,,,Sample Number,Name,Height (nA),N15,Height (nA),13C,Weight,PEAnA,PEA15N,PEAnA,PEA13C,gnsnSTD N weight,gnsnSTD C weight,1nA to x mgN STD,1nA to x mgC STD,mg N in sample,mg C in sample,%N,%C,C/N,d15Nkorr,d13Ckorr,Nat abun (15N),δ15Nkorr,atom% (15N),APE%,N pr DW,15N pr DW,15N pr N ,Nat abun (13C),δ13Ckorr,atom% (13C),APE%,C pr DW,13C pr DW  ,13C pr C ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(ATM%),(δ),(% of N),(% excess),(mgN/g DW),(μg/g DW),(μg/g N),(ATM%),(δ),(% of C),(% excess),(mg/g DW),(μg/g DW),(μg/g C),,
1,BCW,bottom,coarse,1,A12,12,4.697,,,,,,,,,456,EliseLabRoots_12.raw,4.67,-4.66,6.30,-24.76,4.697,4.91,-1.93,3.54,-24.42,2.13,2.13,0.0123,0.2770,0.05719050,1.74565317,1.21759624,37.16527924,30.52348386,-0.75607780,-26.37013932,0.36600000,-0.75607780,0.36597775,-0.00002225,12.17596242,-0.00270930,-0.22251227,1.08000000,-26.37013932,1.08222757,0.00222757,371.65279245,8.27882711,22.27570269,,
,,,,,,,,PEACH,,,,,,,,457,peach2816u.raw,6.48,-3.64,4.56,-24.23,2.82,4.91,-1.93,3.54,-24.42,2.13,2.13,0.0123,0.2770,0.07936947,1.26192729,2.81851798,44.81275904,15.89940509,0.26346855,-25.83746197,0.36600000,0.26346855,0.36634979,0.00034979,28.18517975,0.09859018,3.49794383,1.08000000,-25.83746197,1.08281325,0.00281325,448.12759035,12.60695249,28.13250682,,
1,BUD,top,fine,1,B1,13,4.084,,,,,,,,,458,EliseLabRoots_13.raw,4.20,-6.48,5.47,-26.33,4.084,4.91,-1.93,3.54,-24.42,2.13,2.13,0.0123,0.2770,0.05144090,1.51637842,1.25957161,37.12973603,29.47806676,-2.57318096,-27.93502993,0.36600000,-2.57318096,0.36531466,-0.00068534,12.59571611,-0.08632379,-6.85342487,1.08000000,-27.93502993,1.08050693,0.00050693,371.29736027,1.88221047,5.06928050,,
1,BUD,top,coarse,1,B2,14,4.183,,,,,,,,,459,EliseLabRoots_14.raw,4.49,-0.07,5.68,-23.49,4.183,4.91,-1.93,3.54,-24.42,2.13,2.13,0.0123,0.2770,0.05496769,1.57347938,1.31407329,37.61605025,28.62553454,3.83623527,-25.10090806,0.36600000,3.83623527,0.36765352,0.00165352,13.14073286,0.21728479,16.53521091,1.08000000,-25.10090806,1.08362308,0.00362308,376.16050245,13.62860560,36.23082570,,
1,BUD,middle,fine,1,B3,15,4.996,,,,,,,,,460,EliseLabRoots_15.raw,5.31,-4.30,6.49,-25.52,4.996,4.91,-1.93,3.54,-24.42,2.13,2.13,0.0123,0.2770,0.06507330,1.79722418,1.30250792,35.97326223,27.61845943,-0.39249904,-27.13373911,0.36600000,-0.39249904,0.36611042,0.00011042,13.02507923,0.01438277,1.10423669,1.08000000,-27.13373911,1.08138798,0.00138798,359.73262233,4.99300904,13.87977827,,
1,BUD,middle,coarse,1,B4,16,4.527,,,,,,,,,461,EliseLabRoots_16.raw,4.33,-5.18,6.18,-25.00,4.527,4.91,-1.93,3.54,-24.42,2.13,2.13,0.0123,0.2770,0.05308259,1.71276960,1.17257761,37.83453938,32.26612808,-1.27136255,-26.60878476,0.36600000,-1.27136255,0.36578971,-0.00021029,11.72577611,-0.02465770,-2.10286331,1.08000000,-26.60878476,1.08196518,0.00196518,378.34539382,7.43515520,19.65176615,,
1,BUD,bottom,fine,1,B5,17,4.249,,,,,,,,,462,EliseLabRoots_17.raw,3.91,-6.30,5.66,-25.44,4.249,4.91,-1.93,3.54,-24.42,2.13,2.13,0.0123,0.2770,0.04793052,1.56816106,1.12804239,36.90659131,32.71737973,-2.39100912,-27.04613722,0.36600000,-2.39100912,0.36538114,-0.00061886,11.28042392,-0.06981054,-6.18864543,1.08000000,-27.04613722,1.08148430,0.00148430,369.06591306,5.47803975,14.84298484,,
1,BUD,bottom,coarse,1,B6,18,4.671,,,,,,,,,463,EliseLabRoots_18.raw,2.56,-5.47,6.32,-25.01,4.671,4.91,-1.93,3.54,-24.42,2.13,2.13,0.0123,0.2770,0.03137896,1.75093215,0.67178249,37.48516696,55.79955949,-1.56448144,-26.61790613,0.36600000,-1.56448144,0.36568275,-0.00031725,6.71782489,-0.02131231,-3.17250112,1.08000000,-26.61790613,1.08195515,0.00195515,374.85166964,7.32890314,19.55147524,,
1,BUW,top,fine,1,B7,19,4.54,,,,,,,,,464,EliseLabRoots_19.raw,5.42,-5.11,6.41,-26.65,4.54,4.91,-1.93,3.54,-24.42,2.13,2.13,0.0123,0.2770,0.06641852,1.77444789,1.46296293,39.08475539,26.71616259,-1.20077836,-28.25560298,0.36600000,-1.20077836,0.36581547,-0.00018453,14.62962926,-0.02699592,-1.84529064,1.08000000,-28.25560298,1.08015444,0.00015444,390.84755389,0.60363036,1.54441382,,
1,BUW,top,coarse,1,B8,20,4.159,,,,,,,,,465,EliseLabRoots_20.raw,5.75,-4.52,5.80,-24.11,4.159,4.91,-1.93,3.54,-24.42,2.13,2.13,0.0123,0.2770,0.07048391,1.60623040,1.69473204,38.62059159,22.78861234,-0.61144955,-25.71654149,0.36600000,-0.61144955,0.36603053,0.00003053,16.94732045,0.00517328,0.30525655,1.08000000,-25.71654149,1.08294620,0.00294620,386.20591589,11.37840701,29.46202153,,
