run,treatment,layer,diameter,tray,position,nr,4-5mg,comment,,,,,,,,Sample Number,Name,Height (nA),N15,Height (nA),13C,Weight,PEAnA,PEA15N,PEAnA,PEA13C,gnsnSTD N weight,gnsnSTD C weight,1nA to x mgN STD,1nA to x mgC STD,mg N in sample,mg C in sample,%N,%C,C/N,d15Nkorr,d13Ckorr,Nat abun (15N),δ15Nkorr,atom% (15N),APE%,N pr DW,15N pr DW,15N pr N ,Nat abun (13C),δ13Ckorr,atom% (13C),APE%,C pr DW,13C pr DW  ,13C pr C ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(ATM%),(δ),(% of N),(% excess),(mgN/g DW),(μg/g DW),(μg/g N),(ATM%),(δ),(% of C),(% excess),(mg/g DW),(μg/g DW),(μg/g C),,
2,BCD,middle,coarse,1,E1,52,4.411,,,,,,,,,498,EliseLabRoots_49.raw,4.72,14.74,5.98,-26.63,4.411,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06050906,1.89525898,1.37177654,42.96665100,31.32190247,14.78068486,-26.77858568,0.36600000,14.78068486,0.37164701,0.00564701,13.71776540,0.77464391,56.47012343,1.08000000,-26.77858568,1.08177848,0.00177848,429.66651005,7.64152232,17.78477526,,
2,BCD,bottom,fine,1,E2,53,4.385,,,,,,,,,499,EliseLabRoots_50.raw,5.09,72.52,5.73,-26.86,4.385,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06527728,1.81631618,1.48864949,41.42112163,27.82463028,72.56575318,-27.01193492,0.36600000,72.56575318,0.39272675,0.02672675,14.88649488,3.97867580,267.26746816,1.08000000,-27.01193492,1.08152190,0.00152190,414.21121631,6.30390039,15.21904801,,
2,BCD,bottom,coarse,1,E3,54,4.327,,,,,,,,,500,EliseLabRoots_51.raw,2.99,4.03,5.98,-27.05,4.327,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.03839441,1.89421822,0.88732166,43.77670952,49.33578382,4.07340912,-27.19519853,0.36600000,4.07340912,0.36774007,0.00174007,8.87321658,0.15439984,17.40066223,1.08000000,-27.19519853,1.08132040,0.00132040,437.76709518,5.78028286,13.20401402,,
2,BCW,top,fine,1,E4,55,4.552,,,,,,,,,501,EliseLabRoots_52.raw,6.34,230.35,6.26,-25.36,4.552,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.08127480,1.98435004,1.78547447,43.59292706,24.41531807,230.39442968,-25.50503177,0.36600000,230.39442968,0.45025651,0.08425651,17.85474469,15.04378540,842.56513691,1.08000000,-25.50503177,1.08317876,0.00317876,435.92927059,13.85712438,31.78755205,,
2,BCW,top,coarse,1,E5,56,4.467,,,,,,,,,502,EliseLabRoots_53.raw,5.66,295.85,6.25,-25.00,4.467,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.07264570,1.98061134,1.62627500,44.33873598,27.26398432,295.89364817,-25.15013481,0.36600000,295.89364817,0.47411198,0.10811198,16.26274996,17.58198024,1081.11975454,1.08000000,-25.15013481,1.08356896,0.00356896,443.38735979,15.82431215,35.68958789,,
2,BCW,middle,fine,1,E6,57,4.376,,,,,,,,,503,EliseLabRoots_54.raw,5.16,79.90,5.92,-28.01,4.376,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06618901,1.87530581,1.51254601,42.85433761,28.33258450,79.93773812,-28.15592699,0.36600000,79.93773812,0.39541537,0.02941537,15.12546009,4.44921041,294.15372373,1.08000000,-28.15592699,1.08026404,0.00026404,428.54337606,1.13152835,2.64040565,,
2,BCW,middle,coarse,1,E7,58,4.847,,,,,,,,,504,EliseLabRoots_55.raw,4.26,277.08,6.20,-25.65,4.847,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.05467410,1.96243748,1.12799870,40.48767244,35.89336790,277.12153258,-25.79751163,0.36600000,277.12153258,0.46727615,0.10127615,11.27998703,11.42393711,1012.76154594,1.08000000,-25.79751163,1.08285718,0.00285718,404.87672443,11.56804029,28.57175923,,
2,BCW,bottom,fine,1,E8,59,4.084,,,,,,,,,505,EliseLabRoots_56.raw,3.38,8.96,5.53,-27.52,4.084,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.04333705,1.75201397,1.06114214,42.89946051,40.42762862,9.00650475,-27.66885744,0.36600000,9.00650475,0.36954013,0.00354013,10.61142144,0.37565779,35.40126937,1.08000000,-27.66885744,1.08079960,0.00079960,428.99460512,3.43022621,7.99596585,,
2,BCW,bottom,coarse,1,E9,60,4.75,,,,,,,,,506,EliseLabRoots_57.raw,3.26,6.89,6.31,-26.81,4.75,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.04183246,2.00016774,0.88068339,42.10879455,47.81377164,6.92762394,-26.95989277,0.36600000,6.92762394,0.36878156,0.00278156,8.80683391,0.24496756,27.81562167,1.08000000,-26.95989277,1.08157913,0.00157913,421.08794552,6.64951104,15.79126429,,
2,BUD,top,fine,1,E10,61,4.389,,,,,,,,,507,EliseLabRoots_58.raw,3.99,686.92,6.08,-27.28,4.389,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.05120714,1.92548427,1.16671539,43.87068279,37.60187216,686.96421535,-27.42368265,0.36600000,686.96421535,0.61630616,0.25030616,11.66715386,29.20360460,2503.06158230,1.08000000,-27.42368265,1.08106918,0.00106918,438.70682787,4.69054669,10.69175675,,
2,BUD,top,coarse,1,E11,62,4.115,,,,,,,,,508,EliseLabRoots_59.raw,3.65,261.55,5.77,-24.72,4.115,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.04681279,1.82869216,1.13761346,44.43966356,39.06393971,261.59246225,-24.86768799,0.36600000,261.59246225,0.46162057,0.09562057,11.37613459,10.87792487,956.20571150,1.08000000,-24.86768799,1.08387950,0.00387950,444.39663557,17.24037809,38.79502388,,
2,BUD,middle,fine,1,E12,63,4.431,du er lidt usikker på om den blev lagt korrekt,,,,,,,,509,EliseLabRoots_60.raw,5.13,479.84,5.92,-23.11,4.431,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06582770,1.87612530,1.48561721,42.34090055,28.50054522,479.88205187,-23.25590084,0.36600000,479.88205187,0.54106124,0.17506124,14.85617213,26.00739974,1750.61243982,1.08000000,-23.25590084,1.08565159,0.00565159,423.40900547,23.92932802,56.51586932,,
,,,,,,,,PEACH,,,,,,,,510,peach 2157u.raw,5.31,1.79,3.64,-25.90,2.16,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06812992,1.15155514,3.15854978,53.38688621,16.90234125,1.82758637,-26.04786762,0.36600000,1.82758637,0.36692056,0.00092056,31.58549779,0.29076211,9.20555739,1.08000000,-26.04786762,1.08258191,0.00258191,533.86886211,13.78401268,25.81909839,,
2,BUD,middle,coarse,1,F1,64,4.562,du er lidt usikker på om den blev lagt korrekt,,,,,,,,511,EliseLabRoots_61.raw,3.11,438.37,5.67,-22.76,4.562,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.03987226,1.79712708,0.87400827,39.39340368,45.07211776,438.41486159,-22.90700649,0.36600000,438.41486159,0.52598012,0.15998012,8.74008270,13.98239512,1599.80123764,1.08000000,-22.90700649,1.08603517,0.00603517,393.93403678,23.77459508,60.35171593,,
2,BUD,bottom,fine,1,F2,65,4.93,du er lidt usikker på om den blev lagt korrekt,,,,,,,,512,EliseLabRoots_62.raw,5.19,3.36,5.99,-27.89,4.93,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06659638,1.89904076,1.35083943,38.52009656,28.51567385,3.40463515,-28.03470187,0.36600000,3.40463515,0.36749603,0.00149603,13.50839428,0.20208951,14.96029105,1.08000000,-28.03470187,1.08039733,0.00039733,385.20096559,1.53053386,3.97333858,,
2,BUD,bottom,coarse,1,F3,66,4.789,,,,,,,,,513,EliseLabRoots_63.raw,2.92,5.16,6.24,-26.88,4.789,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.03746074,1.97791782,0.78222476,41.30127004,52.79974790,5.19718287,-27.02471316,0.36600000,5.19718287,0.36815013,0.00215013,7.82224758,0.16818858,21.50131091,1.08000000,-27.02471316,1.08150785,0.00150785,413.01270045,6.22763183,15.07854801,,
2,BUW,top,fine,1,F4,67,4.409,,,,,,,,,514,EliseLabRoots_64.raw,6.20,713.88,6.12,-26.67,4.409,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.07949920,1.93887312,1.80311186,43.97534857,24.38858589,713.91890522,-26.81501366,0.36600000,713.91890522,0.62609198,0.26009198,18.03111864,46.89749367,2600.91980994,1.08000000,-26.81501366,1.08173842,0.00173842,439.75348569,7.64478116,17.38424233,,
2,BUW,top,coarse,1,F5,68,4.959,,,,,,,,,515,EliseLabRoots_65.raw,9.94,41.33,6.53,-25.85,4.959,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.12751266,2.06751762,2.57133812,41.69222872,16.21421488,41.37196735,-25.99988609,0.36600000,41.37196735,0.38134850,0.01534850,25.71338115,3.94661865,153.48501349,1.08000000,-25.99988609,1.08263467,0.00263467,416.92228725,10.98450801,26.34665584,,
2,BUW,middle,fine,1,F6,69,4.338,,,,,,,,,516,EliseLabRoots_66.raw,5.17,250.75,5.20,-24.80,4.338,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06627329,1.64574688,1.52773830,37.93791800,24.83273340,250.78846174,-24.95334957,0.36600000,250.78846174,0.45768545,0.09168545,15.27738303,14.00713698,916.85447355,1.08000000,-24.95334957,1.08378532,0.00378532,379.37918000,14.36071487,37.85319709,,
2,BUW,middle,coarse,1,F7,70,4.637,,,,,,,,,517,EliseLabRoots_67.raw,3.68,163.67,6.09,-25.90,4.637,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.04724480,1.92759144,1.01886562,41.56979590,40.80007716,163.70749091,-26.05263416,0.36600000,163.70749091,0.42595672,0.05995672,10.18865620,6.10878415,599.56720798,1.08000000,-26.05263416,1.08257667,0.00257667,415.69795902,10.71116053,25.76669021,,
2,BUW,bottom,fine,1,F8,71,4.388,,,,,,,,,518,EliseLabRoots_68.raw,4.64,0.63,5.72,-27.16,4.388,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.05946468,1.81043689,1.35516586,41.25881705,30.44558466,0.66854078,-27.30825191,0.36600000,0.66854078,0.36649761,0.00049761,13.55165864,0.06743437,4.97609687,1.08000000,-27.30825191,1.08119610,0.00119610,412.58817048,4.93494932,11.96095688,,
2,BUW,bottom,coarse,1,F9,72,4.5,,,,,,,,,519,EliseLabRoots_69.raw,3.06,1.47,5.95,-27.10,4.5,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.03922078,1.88634802,0.87157289,41.91884481,48.09562716,1.51201396,-27.24469756,0.36600000,1.51201396,0.36680540,0.00080540,8.71572891,0.07019656,8.05400913,1.08000000,-27.24469756,1.08126598,0.00126598,419.18844807,5.30682397,12.65975720,,
2,SCD,top,fine,1,F10,73,4.402,,,,,,,,,520,EliseLabRoots_70.raw,5.27,440.32,6.52,-25.90,4.402,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06763727,2.06652708,1.53651220,46.94518573,30.55308361,440.36467450,-26.04673654,0.36600000,440.36467450,0.52668935,0.16068935,15.36512201,24.69011465,1606.89349823,1.08000000,-26.04673654,1.08258315,0.00258315,469.45185731,12.12666193,25.83153467,,
2,SCD,top,coarse,1,F11,74,5.033,,,,,,,,,521,EliseLabRoots_71.raw,4.74,271.27,7.12,-27.42,5.033,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06083911,2.25679739,1.20880400,44.84000374,37.09451967,271.30746579,-27.56420693,0.36600000,271.30746579,0.46515879,0.09915879,12.08803999,11.98635367,991.58785662,1.08000000,-27.56420693,1.08091466,0.00091466,448.40003736,4.10135379,9.14664015,,
2,SCD,middle,fine,1,F12,75,5.02,,,,,,,,,522,EliseLabRoots_72.raw,6.77,278.75,6.97,-26.79,5.02,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.08687609,2.20864200,1.73059944,43.99685258,25.42289770,278.79618969,-26.93468971,0.36600000,278.79618969,0.46788602,0.10188602,17.30599442,17.63238809,1018.86015113,1.08000000,-26.93468971,1.08160684,0.00160684,439.96852583,7.06958052,16.06837785,,
,,,,,,,,PEACH,,,,,,,,523,peach 3939u.raw,4.05,1.79,2.87,-25.78,3.94,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.05196835,0.90807898,1.31932847,23.05354095,17.47369324,1.83297270,-25.93132074,0.36600000,1.83297270,0.36692252,0.00092252,13.19328469,0.12171085,9.22521249,1.08000000,-25.93132074,1.08271005,0.00271005,230.53540947,6.24763218,27.10053174,,
2,SCD,middle,coarse,1,G1,76,4.608,,,,,,,,,524,EliseLabRoots_73.raw,5.18,212.23,6.38,-25.89,4.608,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06641141,2.02173343,1.44121984,43.87442344,30.44256141,212.26832125,-26.03493401,0.36600000,212.26832125,0.44365279,0.07765279,14.41219839,11.19147353,776.52785716,1.08000000,-26.03493401,1.08259613,0.00259613,438.74423440,11.39037226,25.96130358,,
2,SCD,bottom,fine,1,G2,77,4.07,,,,,,,,,525,EliseLabRoots_74.raw,4.10,1.24,5.48,-27.59,4.07,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.05262336,1.73737307,1.29295731,42.68729913,33.01524241,1.28682881,-27.74178771,0.36600000,1.28682881,0.36672323,0.00072323,12.92957314,0.09351041,7.23228941,1.08000000,-27.74178771,1.08071941,0.00071941,426.87299126,3.07095275,7.19406665,,
2,SCD,bottom,coarse,1,G3,78,4.68,,,,,,,,,526,EliseLabRoots_75.raw,5.33,2.13,6.22,-26.57,4.68,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06834008,1.96987862,1.46025822,42.09142350,28.82464404,2.16869504,-26.71433619,0.36600000,2.16869504,0.36704503,0.00104503,14.60258224,0.15260117,10.45028645,1.08000000,-26.71433619,1.08184912,0.00184912,420.91423503,7.78321372,18.49121049,,
2,SCW,top,fine,1,G4,79,4.653,,,,,,,,,527,EliseLabRoots_76.raw,6.19,221.21,6.53,-27.26,4.653,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.07943776,2.06964491,1.70723748,44.47979596,26.05366645,221.25410728,-27.40954446,0.36600000,221.25410728,0.44692661,0.08092661,17.07237484,13.81609399,809.26608760,1.08000000,-27.40954446,1.08108472,0.00108472,444.79795959,4.82481734,10.84721105,,
2,SCW,top,coarse,1,G5,80,4.792,,,,,,,,,528,EliseLabRoots_77.raw,5.01,65.13,6.88,-28.98,4.792,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06426587,2.17947789,1.34110741,45.48159213,33.91345969,65.17389364,-29.13079700,0.36600000,65.17389364,0.39003073,0.02403073,13.41107411,3.22277862,240.30727087,1.08000000,-29.13079700,1.07919211,-0.00080789,454.81592127,-3.67442405,-8.07892574,,
2,SCW,middle,fine,1,G6,81,5.015,,,,,,,,,529,EliseLabRoots_78.raw,6.16,622.77,6.19,-22.61,5.015,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.07900770,1.95981176,1.57542769,39.07899818,24.80532653,622.80735507,-22.75664975,0.36600000,622.80735507,0.59300644,0.22700644,15.75427686,35.76322297,2270.06439486,1.08000000,-22.75664975,1.08620048,0.00620048,390.78998181,24.23084401,62.00477273,,
2,SCW,middle,coarse,1,G7,82,4.81,,,,,,,,,530,EliseLabRoots_79.raw,6.56,290.70,6.64,-24.35,4.81,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.08410032,2.10238854,1.74844740,43.70870138,24.99857954,290.74562826,-24.50157552,0.36600000,290.74562826,0.47223743,0.10623743,17.48447399,18.57505579,1062.37429797,1.08000000,-24.50157552,1.08428203,0.00428203,437.08701380,18.71620356,42.82031487,,
2,SCW,bottom,fine,1,G8,83,4.489,,,,,,,,,531,EliseLabRoots_80.raw,5.18,2.43,5.98,-26.77,4.489,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06649574,1.89306549,1.48130398,42.17120710,28.46897574,2.47206092,-26.91726826,0.36600000,2.47206092,0.36715573,0.00115573,14.81303981,0.17119855,11.55728682,1.08000000,-26.91726826,1.08162599,0.00162599,421.71207105,6.85700905,16.25993071,,
2,SCW,bottom,coarse,1,G9,84,4.274,,,,,,,,,532,EliseLabRoots_81.raw,6.17,3.95,5.64,-26.12,4.274,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.07920604,1.78501561,1.85320632,41.76452056,22.53635776,3.99240577,-26.27000986,0.36600000,3.99240577,0.36771051,0.00171051,18.53206317,0.31699242,17.10507982,1.08000000,-26.27000986,1.08233766,0.00233766,417.64520559,9.76313936,23.37663458,,
2,SUD,top,fine,1,G10,85,4.603,,,,,,,,,533,EliseLabRoots_82.raw,4.78,334.18,6.58,-26.98,4.603,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06135704,2.08389902,1.33297934,45.27262698,33.96348726,334.22285055,-27.13140791,0.36600000,334.22285055,0.48806655,0.12206655,13.32979344,16.27121859,1220.66547114,1.08000000,-27.13140791,1.08139054,0.00139054,452.72626983,6.29534459,13.90541043,,
2,SUD,top,coarse,1,G11,86,4.864,,,,,,,,,534,EliseLabRoots_83.raw,4.63,287.97,6.92,-26.51,4.864,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.05941332,2.19328061,1.22149105,45.09211777,36.91563499,288.01014723,-26.65874045,0.36600000,288.01014723,0.47124133,0.10524133,12.21491051,12.85513450,1052.41331865,1.08000000,-26.65874045,1.08191025,0.00191025,450.92117773,8.61371969,19.10249532,,
2,SUD,middle,fine,1,G12,87,4.521,,,,,,,,,535,EliseLabRoots_84.raw,5.24,236.78,6.19,-26.16,4.521,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06716761,1.96142460,1.48568034,43.38475126,29.20194214,236.82578828,-26.30555647,0.36600000,236.82578828,0.45259938,0.08659938,14.85680338,12.86590024,865.99384267,1.08000000,-26.30555647,1.08229858,0.00229858,433.84751256,9.97233079,22.98579686,,
,,,,,,,,PEACH,,,,,,,,536,peach 2734u.raw,6.84,2.05,4.43,-25.99,2.73,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.08779945,1.40381151,3.21139161,51.34643398,15.98884228,2.09390552,-26.13663636,0.36600000,2.09390552,0.36701774,0.00101774,32.11391612,0.32683535,10.17737457,1.08000000,-26.13663636,1.08248431,0.00248431,513.46433980,12.75603750,24.84308357,,
2,SUD,middle,coarse,1,H1,88,5.061,,,,,,,,,537,EliseLabRoots_85.raw,4.72,146.33,6.85,-25.95,5.061,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06049678,2.16986940,1.19535233,42.87432134,35.86751823,146.37567059,-26.09547848,0.36600000,146.37567059,0.41963930,0.05363930,11.95352326,6.41178670,536.39304185,1.08000000,-26.09547848,1.08252956,0.00252956,428.74321338,10.84532365,25.29561592,,
2,SUD,bottom,fine,1,H2,89,4.285,,,,,,,,,538,EliseLabRoots_86.raw,5.02,-0.82,5.88,-28.61,4.285,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06440341,1.86129862,1.50299679,43.43754080,28.90062113,-0.77440416,-28.76151376,0.36600000,-0.77440416,0.36597106,-0.00002894,15.02996790,-0.00434949,-0.28938778,1.08000000,-28.76151376,1.07959816,-0.00040184,434.37540805,-1.74548909,-4.01838837,,
2,SUD,bottom,coarse,1,H3,90,4.361,,,,,,,,,539,EliseLabRoots_87.raw,3.01,9.10,5.91,-27.01,4.361,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.03863518,1.87268009,0.88592471,42.94152922,48.47085616,9.14248926,-27.15731236,0.36600000,9.14248926,0.36958975,0.00358975,8.85924711,0.31802447,35.89746049,1.08000000,-27.15731236,1.08136206,0.00136206,429.41529217,5.84888692,13.62058367,,
2,SUW,top,fine,1,H4,91,4.373,,,,,,,,,540,EliseLabRoots_88.raw,4.61,618.20,6.22,-24.54,4.373,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.05907030,1.97190074,1.35079568,45.09263058,33.38227329,618.24126792,-24.68532230,0.36600000,618.24126792,0.59134777,0.22534777,13.50795681,30.43987894,2253.47766300,1.08000000,-24.68532230,1.08408001,0.00408001,450.92630576,18.39782987,40.80008117,,
2,SUW,top,coarse,1,H5,92,4.288,,,,,,,,,541,EliseLabRoots_89.raw,4.29,375.91,6.24,-25.52,4.288,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.05508063,1.97568299,1.28452956,46.07469671,35.86892682,375.95498980,-25.67007406,0.36600000,375.95498980,0.50325558,0.13725558,12.84529558,17.63088523,1372.55582209,1.08000000,-25.67007406,1.08299729,0.00299729,460.74696707,13.80993554,29.97292772,,
2,SUW,middle,fine,1,H6,93,4.24,,,,,,,,,542,EliseLabRoots_90.raw,5.04,113.87,6.04,-27.52,4.24,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06465822,1.91224953,1.52495810,45.10022468,29.57473040,113.91381006,-27.67314282,0.36600000,113.91381006,0.40780486,0.04180486,15.24958100,6.37506580,418.04858789,1.08000000,-27.67314282,1.08079488,0.00079488,451.00224676,3.58494754,7.94884630,,
2,SUW,middle,coarse,1,H7,94,4.556,,,,,,,,,543,EliseLabRoots_91.raw,5.15,34.15,6.46,-27.90,4.556,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06603089,2.04790103,1.44931710,44.94953974,31.01428933,34.19627826,-28.05165362,0.36600000,34.19627826,0.37873073,0.01273073,14.49317096,1.84508634,127.30729185,1.08000000,-28.05165362,1.08037869,0.00037869,449.49539743,1.70221457,3.78694548,,
2,SUW,bottom,fine,1,H8,95,5.011,,,,,,,,,544,EliseLabRoots_92.raw,4.70,1.39,6.50,-27.57,5.011,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06027614,2.05894719,1.20287638,41.08854905,34.15858005,1.43037926,-27.72302543,0.36600000,1.43037926,0.36677561,0.00077561,12.02876378,0.09329650,7.75611733,1.08000000,-27.72302543,1.08074004,0.00074004,410.88549053,3.04070300,7.40036596,,
2,SUW,bottom,coarse,1,H9,96,4.434,,,,,,,,,545,EliseLabRoots_93.raw,4.99,1.51,6.04,-26.91,4.434,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06396212,1.91423046,1.44253768,43.17163872,29.92756402,1.54935627,-27.05947190,0.36600000,1.54935627,0.36681903,0.00081903,14.42537678,0.11814779,8.19027427,1.08000000,-27.05947190,1.08146964,0.00146964,431.71638724,6.34466225,14.69636651,,
3,BCD,top,fine,1,H10,97,4.216,,,,,,,,,546,EliseLabRoots_94.raw,4.44,1696.86,5.57,-22.56,4.216,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.05694449,1.76521545,1.35067583,41.86943661,30.99887895,1696.90074127,-22.71293018,0.36600000,1696.90074127,0.98164884,0.61564884,13.50675832,83.15420025,6156.48835273,1.08000000,-22.71293018,1.08624854,0.00624854,418.69436610,26.16229949,62.48543474,,
3,BCD,top,coarse,1,H11,98,4.561,,,,,,,,,547,EliseLabRoots_95.raw,7.89,174.46,5.85,-24.84,4.561,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.10118986,1.85383135,2.21858926,40.64528290,18.32032796,174.49822092,-24.98399202,0.36600000,174.49822092,0.42988952,0.06388952,22.18589263,14.17445968,638.89517167,1.08000000,-24.98399202,1.08375163,0.00375163,406.45282901,15.24860257,37.51629090,,
3,BCD,middle,fine,1,H12,99,4.309,,,,,,,,,548,EliseLabRoots_96.raw,6.42,47.14,5.75,-27.56,4.309,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.08238660,1.82203012,1.91196571,42.28429148,22.11561188,47.18023932,-27.70545741,0.36600000,47.18023932,0.38346732,0.01746732,19.11965706,3.33969237,174.67323607,1.08000000,-27.70545741,1.08075935,0.00075935,422.84291481,3.21087198,7.59353383,,
,,,,,,,,PEACH,,,,,,,,549,peach 2762u.raw,6.90,2.21,4.48,-26.00,2.76,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.08849499,1.41961020,3.20401829,51.39790732,16.04170224,2.25646020,-26.15214103,0.36600000,2.25646020,0.36707705,0.00107705,32.04018286,0.34509030,10.77054706,1.08000000,-26.15214103,1.08246726,0.00246726,513.97907321,12.68120475,24.67260908,,
3,BCD,middle,coarse,2,A1,100,4.457,,,,,,,,,553,EliseLabRootsTray2_1.raw,4.38,45.36,5.94,-26.84,4.457,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.05618912,1.88276010,1.26069380,42.24276635,33.50755471,45.40644966,-26.98984084,0.36600000,45.40644966,0.38282027,0.01682027,12.60693796,2.12052044,168.20265496,1.08000000,-26.98984084,1.08154620,0.00154620,422.42766353,6.53156719,15.46197789,,
3,BCD,bottom,fine,2,A2,101,4.368,,,,,,,,,554,EliseLabRootsTray2_2.raw,4.25,3.19,5.72,-27.58,4.368,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.05456772,1.81065182,1.24926103,41.45265160,33.18173756,3.23680144,-27.73353629,0.36600000,3.23680144,0.36743479,0.00143479,12.49261029,0.17924223,14.34786021,1.08000000,-27.73353629,1.08072848,0.00072848,414.52651602,3.01974053,7.28479461,,
3,BCD,bottom,coarse,2,A3,102,4.47,,,,,,,,,555,EliseLabRootsTray2_3.raw,3.85,2.98,5.84,-27.19,4.47,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.04942593,1.84958423,1.10572545,41.37772327,37.42133581,3.02059820,-27.34286570,0.36600000,3.02059820,0.36735589,0.00135589,11.05725447,0.14992450,13.55892620,1.08000000,-27.34286570,1.08115804,0.00115804,413.77723272,4.79169215,11.58036686,,
3,BCW,top,fine,2,A4,103,4.259,,,,,,,,,556,EliseLabRootsTray2_4.raw,7.10,882.06,6.37,-19.57,4.259,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.09112010,2.01815533,2.13947176,47.38566171,22.14829963,882.10280769,-19.72195641,0.36600000,882.10280769,0.68710717,0.32110717,21.39471765,68.69997144,3211.07165654,1.08000000,-19.72195641,1.08953677,0.00953677,473.85661707,45.19062164,95.36771253,,
3,BCW,top,coarse,2,A5,104,4.318,,,,,,,,,557,EliseLabRootsTray2_5.raw,7.70,680.20,6.14,-22.18,4.318,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.09883187,1.94515820,2.28883442,45.04766547,19.68148725,680.23975940,-22.33025559,0.36600000,680.23975940,0.61386456,0.24786456,22.88834421,56.73209445,2478.64563414,1.08000000,-22.33025559,1.08666926,0.00666926,450.47665470,30.04346777,66.69261872,,
3,BCW,middle,fine,2,A6,105,4.975,,,,,,,,,558,EliseLabRootsTray2_6.raw,4.88,574.21,5.50,-23.18,4.975,6.09,1.94,4.02,-25.88,2.77,2.77,0.0128,0.3168,0.06265967,1.74270625,1.25949078,35.02927137,27.81224905,574.24777172,-23.32512433,0.36600000,574.24777172,0.57536389,0.20936389,12.59490784,26.36918870,2093.63887575,1.08000000,-23.32512433,1.08557548,0.00557548,350.29271370,19.53050107,55.75480250,,
